athlete_code:ID(Athlete-ID),name,name_short,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place
1532872,ALEKSANYAN Artur,ALEKSANYAN A,Male,Athlete,ARM,ARM,0.0,0.0,Wrestling,Men's Greco-Roman 97kg,1991-10-21,GYUMRI
1532873,AMOYAN Malkhas,AMOYAN M,Male,Athlete,ARM,ARM,0.0,0.0,Wrestling,Men's Greco-Roman 77kg,1999-01-22,YEREVAN
1532874,GALSTYAN Slavik,GALSTYAN S,Male,Athlete,ARM,ARM,0.0,0.0,Wrestling,Men's Greco-Roman 67kg,1996-12-21,
1532944,HARUTYUNYAN Arsen,HARUTYUNYAN A,Male,Athlete,ARM,ARM,0.0,0.0,Wrestling,Men's Freestyle 57kg,1999-11-22,MASIS
1532945,TEVANYAN Vazgen,TEVANYAN V,Male,Athlete,ARM,ARM,0.0,0.0,Wrestling,Men's Freestyle 65kg,1999-10-27,POKR VEDI
1532951,ARENAS Lorena,ARENAS L,Female,Athlete,COL,COL,162.0,0.0,Athletics,Women's 20km Race Walk;Marathon Race Walk Relay Mixed,1993-09-17,PEREIRA
1533112,McKENZIE Ashley,McKENZIE A,Male,Athlete,JAM,JAM,0.0,0.0,Judo,Men -60 kg,1989-07-17,LONDON
1533136,BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Female,Athlete,GAM,GAM,161.0,0.0,Athletics,Women's 100m;Women's 200m,1995-05-03,TUBAKUTA
1533176,CAMARA Ebrahima,CAMARA E,Male,Athlete,GAM,GAM,178.0,0.0,Athletics,Men's 100m,1996-09-18,BUNDUNG
1533188,RUEDA SANTOS Lizeth,RUEDA SANTOS L,Female,Athlete,MEX,MEX,0.0,0.0,Triathlon,Women's Individual,1994-03-07,GUADALAJARA
1533189,TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Female,Athlete,MEX,MEX,0.0,0.0,Triathlon,Women's Individual,1997-08-27,HERMOSILLO
1533190,GRAJALES Crisanto,GRAJALES C,Male,Athlete,MEX,MEX,0.0,0.0,Triathlon,Men's Individual,1987-05-06,XALAPA
1533208,MAAROUFOU Hachim,MAAROUFOU H,Male,Athlete,COM,COM,183.0,0.0,Athletics,Men's 100m,1997-02-13,MARSEILLE
1533209,SAADI Maesha,SAADI M,Female,Athlete,COM,COM,0.0,0.0,Swimming,Women's 50m Freestyle,2007-01-16,VIENNE
1533230,DIOSDADO Nuria,DIOSDADO N,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team;Duet,1990-08-22,GUADALAJARA
1533231,JIMENEZ Joana,JIMENEZ J,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team;Duet,1993-08-19,ECATEPEC DE MORELOS
1533232,SOBRINO Jessica,SOBRINO J,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,1994-05-26,MEXICO CITY
1533234,ALFEREZ Regina,ALFEREZ R,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,1997-12-01,
1533235,ARELLANO Fernanda,ARELLANO F,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,2002-02-28,
1533237,TOSCANO Pamela,TOSCANO P,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,2000-01-13,
1533239,GONZALEZ Itzamary,GONZALEZ I,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,2003-11-14,
1533240,RODRIGUEZ Samanta,RODRIGUEZ S,Female,Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,1994-12-05,
1533243,INZUNZA Glenda,INZUNZA G,Female,Alternate Athlete,MEX,MEX,0.0,0.0,Artistic Swimming,Team,2000-03-12,
1533245,SEHEN Sajjad,SEHEN S,Male,Athlete,IRQ,IRQ,0.0,0.0,Judo,Men -81 kg,1996-03-08,
1533359,RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Male,Athlete,IRQ,IRQ,0.0,0.0,Weightlifting,Men's +102kg,2004-08-02,
1533364,ISMAIL Mohamed,ISMAIL M,Male,Athlete,DJI,DJI,170.0,0.0,Athletics,Men's 5000m,1997-01-01,
1533371,HASSAN Ibrahim,HASSAN I,Male,Athlete,DJI,DJI,170.0,0.0,Athletics,Men's Marathon,1997-01-01,
1533372,WAISS Abdi,WAISS A,Male,Athlete,DJI,DJI,170.0,0.0,Athletics,Men's 5000m,1996-07-03,
1533374,HASSAN NOUR Samiyah,HASSAN NOUR S,Female,Athlete,DJI,DJI,160.0,0.0,Athletics,Women's 5000m,1999-12-05,
1533378,HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Male,Athlete,DJI,DJI,0.0,0.0,Swimming,Men's 50m Freestyle,2004-04-04,
1535180,BARAT Andy,BARAT A,Male,Athlete,COM,COM,0.0,0.0,Canoe Slalom,Men's Kayak Single;Men's Kayak Cross,1997-11-29,ANJOUAN
1535186,MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Male,Athlete,MEX,MEX,178.0,0.0,Boxing,Men's 63.5kg,2001-03-17,DURANGO
1535187,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Male,Athlete,MEX,MEX,180.0,0.0,Boxing,Men's 71kg,2002-02-11,MAZATLAN
1535191,GONZALEZ Alegna,GONZALEZ A,Female,Athlete,MEX,MEX,158.0,0.0,Athletics,Women's 20km Race Walk;Marathon Race Walk Relay Mixed,1999-01-02,OJINAGA
1535195,LOPEZ Jesus Tonatiu,LOPEZ JT,Male,Athlete,MEX,MEX,190.0,0.0,Athletics,Men's 800m,1997-08-02,HERMOSILLO
1535199,PORTILLO Erick,PORTILLO E,Male,Athlete,MEX,MEX,190.0,0.0,Athletics,Men's High Jump,2000-10-05,CHIHUAHUA
1535201,MUNOZ Uziel,MUNOZ U,Male,Athlete,MEX,MEX,185.0,0.0,Athletics,Men's Shot Put,1995-09-08,NUEVO CASAS GRANDES
1535202,del REAL Diego,del REAL D,Male,Athlete,MEX,MEX,185.0,0.0,Athletics,Men's Hammer Throw,1994-03-06,MONTERREY
1535203,DOCTOR Jose Luis,DOCTOR JL,Male,Athlete,MEX,MEX,175.0,0.0,Athletics,Men's 20km Race Walk,1996-06-14,HUIXQUILUCAN
1535212,MORAN Paola,MORAN P,Female,Athlete,MEX,MEX,169.0,0.0,Athletics,Women's 400m,1997-02-25,GUADALAJARA
1535214,GALVAN Laura,GALVAN L,Female,Athlete,MEX,MEX,162.0,0.0,Athletics,Women's 5000m,1991-10-05,LA SAUCEDA
1535216,CORTES Alma Delia,CORTES AD,Female,Athlete,MEX,MEX,160.0,0.0,Athletics,Women's 5000m,1997-12-26,TULTITLAN
