coach_code:ID(Coach-ID),name,gender,function,category,country_code,country
1533246,PEDRERO Ofelia,Female,Coach,C,MEX,Mexico
1535775,RADHI SHENAISHIL,Male,Head Coach,C,IRQ,Iraq
1536055,AFLAKIKHAMSEH Majid,Male,Coach,C,IRI,IR Iran
1536059,YOUSEFY Mehrdad,Male,Coach,C,IRI,IR Iran
1536060,MADDAH Minoo,Female,Coach,C,IRI,IR Iran
1536328,LOFTUS Adriana,Female,Coach,C,MEX,Mexico
1538313,FERRARA Fernando,Male,Head Coach,C,ARG,Argentina
1538315,GULLA Alejandra,Female,Assistant Coach,C,ARG,Argentina
1538317,CAPURRO Santiago,Male,Assistant Coach,C,ARG,Argentina
1538745,RONCONI Mariano,Male,Head Coach,C,ARG,Argentina
1538748,PAULON Ezequiel,Male,Assistant Coach,C,ARG,Argentina
1538751,VILA Matias,Male,Assistant Coach,C,ARG,Argentina
1539598,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,Coach,C,IRI,IR Iran
1540258,DAVIS DIAZ David,Male,Coach,C,MEX,Mexico
1540259,MENDOZA MORA Abel,Male,Coach,C,MEX,Mexico
1540260,VICTORIA ESPINOSA de los Alfonso,Male,Coach,C,MEX,Mexico
1540522,MILANO Guillermo,Male,Head Coach,C,ARG,Argentina
1540638,GOMEZ CORA Santiago,Male,Head Coach,C,ARG,Argentina
1540639,GRAVANO Leonardo,Male,Assistant Coach,C,ARG,Argentina
1540840,FILIORIANU Ana Luiza,Female,Coach,C,ROU,Romania
1542341,SMAILI Badr,Male,Coach,C,MAR,Morocco
1542904,OCEGUERA ORNELAS Pavel,Male,Coach,C,MEX,Mexico
1542908,VALENZUELA GOMEZ Maria,Female,Coach,C,MEX,Mexico
1542913,MEZA PADILLA Jose,Male,Coach,C,MEX,Mexico
1542973,AGUILAR ROJAS Blajaith,Female,Coach,C,MEX,Mexico
1542976,FURALEV Vladislav,Male,Coach,C,MEX,Mexico
1543567,UPTON Patrick Anthony Howard,Male,Coach,C,IND,India
1543570,SCHOPMAN Johanna Dorothea Maria,Female,Coach,C,IND,India
1543575,HALKETT Rhett Kennedy,Male,Assistant Coach,C,IND,India
1543576,FULTON Craig Arthur,Male,Head Coach,C,IND,India
1543577,FARRY Anthony James,Male,Coach,C,IND,India
1544157,THORPE Karen,Female,Coach,C,GBR,Great Britain
1544158,TOMOMATSU Yumiko,Female,Coach,C,GBR,Great Britain
1544489,CURRAN Orlaith,Female,Assistant Coach,C,IRL,Ireland
1545106,NASKAR Arup,Male,Coach,C,IND,India
1545139,CHINNASAMY Ashok Kumar,Male,Coach,C,IND,India
1545947,BUSNARI Alberto,Male,Coach,C,ITA,Italy
1545949,COCCIARO Giuseppe,Male,Coach,C,ITA,Italy
1545950,FORTUNA Marco,Male,Coach,C,ITA,Italy
1545955,BERGAMELLI Monica Roberta,Female,Coach,C,ITA,Italy
1546310,CHIRILCENCO Marc Michel,Male,Coach,C,ALG,Algeria
1546312,HAMICI Saad Eddine,Male,Coach,C,ALG,Algeria
1546698,HERRANZ MARTIN Miguel Angel,Male,Coach,C,ESP,Spain
1546699,RAMAL MUNOZ Jesus,Male,Coach,C,ESP,Spain
1546700,SEIJO GIEBELS Christian Jaime,Male,Coach,C,ESP,Spain
1546701,TOLEDO AROCA Antonio,Male,Coach,C,ESP,Spain
1546702,YAGUE ENRIQUE Brigida,Female,Coach,C,ESP,Spain
1548427,JONES Gilmar,Male,Coach,C,SUR,Suriname
1548848,DIMITROVA Vesela,Female,Coach,C,BUL,Bulgaria
1548875,STOYNEVA Yasena,Female,Coach,C,BUL,Bulgaria
1548895,MARKOVA Branimira,Female,Coach,C,BUL,Bulgaria
1548902,PAMUKOVA Mariyana,Female,Coach,C,BUL,Bulgaria
1548919,IVANOVA Valentina,Female,Coach,C,BUL,Bulgaria
1549452,LEE Eui Yong,Male,Coach,C,GAM,Gambia
1550038,ARILL Samuel,Male,Assistant Coach,C,PUR,Puerto Rico
1550039,MORALES OTERO Carlos,Male,Assistant Coach,C,PUR,Puerto Rico
1550047,BATISTA Gerardo,Male,Coach,C,PUR,Puerto Rico
1550196,COTUTIU Florin,Male,Coach,C,ROU,Romania
1550198,JONES Daymon,Male,Coach,C,ROU,Romania
1550199,KIENS Patrick,Male,Coach,C,ROU,Romania
1550201,MOROSAN Corina,Female,Coach,C,ROU,Romania
1550203,VOINEA Camelia,Female,Coach,C,ROU,Romania
1550267,BERBECAR Marius,Male,Coach,C,ROU,Romania
1552001,LIU Tsung-Ta,Male,Coach,C,TPE,Chinese Taipei
1555083,GEORGALLAS Irodotos,Male,Coach,C,CYP,Cyprus
1555113,PETRIDIS Panagiotis,Male,Coach,C,CYP,Cyprus
1555115,FLANNERY Eimear,Female,Assistant Coach,C,IRL,Ireland
1555131,SHIPPI Panayiotis,Male,Coach,C,CYP,Cyprus
1555182,TRIKOMITI Chrystalleni,Female,Coach,C,CYP,Cyprus
1556249,DEACU George,Male,Assistant Coach,C,ROU,Romania
1556255,RATH Bogdan,Male,Head Coach,C,ROU,Romania
