event_code:ID(Event-ID),name,gender,sport_name,sport_code,stages,has_medalists
ARCMINDIVID,Men's Individual,M,Archery,ARC,Men's Individual 1/16 Elimination Round;Men's Individual 1/32 Elimination Round;Men's Individual 1/8 Elimination Round;Men's Individual Bronze Medal Match;Men's Individual Gold Medal Match;Men's Individual Quarterfinal;Men's Individual Ranking Round;Men's Individual Semifinal,True
ARCMTEAM3,Men's Team,M,Archery,ARC,Men's Team 1/8 Elimination Round;Men's Team Bronze Medal Match;Men's Team Gold Medal Match;Men's Team Quarterfinal;Men's Team Ranking Round;Men's Team Semifinal,True
ARCWINDIVID,Women's Individual,W,Archery,ARC,Women's Individual 1/16 Elimination Round;Women's Individual 1/32 Elimination Round;Women's Individual 1/8 Elimination Round;Women's Individual Bronze Medal Match;Women's Individual Gold Medal Match;Women's Individual Quarterfinal;Women's Individual Ranking Round;Women's Individual Semifinal,True
ARCWTEAM3,Women's Team,W,Archery,ARC,Women's Team 1/8 Elimination Round;Women's Team Bronze Medal Match;Women's Team Gold Medal Match;Women's Team Quarterfinal;Women's Team Ranking Round;Women's Team Semifinal,True
ARCXTEAM2,Mixed Team,X,Archery,ARC,Mixed Team 1/8 Elimination Round;Mixed Team Bronze Medal Match;Mixed Team Gold Medal Match;Mixed Team Quarterfinal;Mixed Team Ranking Round;Mixed Team Semifinal,True
ATHM10000M,"Men's 10,000m",M,Athletics,ATH,"Men's 10,000m Final",True
ATHM100M,Men's 100m,M,Athletics,ATH,Men's 100m Final;Men's 100m Preliminary Round - Heat 1;Men's 100m Preliminary Round - Heat 2;Men's 100m Preliminary Round - Heat 3;Men's 100m Preliminary Round - Heat 4;Men's 100m Preliminary Round - Heat 5;Men's 100m Preliminary Round - Heat 6;Men's 100m Round 1 - Heat 1;Men's 100m Round 1 - Heat 2;Men's 100m Round 1 - Heat 3;Men's 100m Round 1 - Heat 4;Men's 100m Round 1 - Heat 5;Men's 100m Round 1 - Heat 6;Men's 100m Round 1 - Heat 7;Men's 100m Round 1 - Heat 8;Men's 100m Semi-Final 1;Men's 100m Semi-Final 2;Men's 100m Semi-Final 3,True
ATHM110MHURD,Men's 110m Hurdles,M,Athletics,ATH,Men's 110m Hurdles Final;Men's 110m Hurdles Repechage - Heat 1;Men's 110m Hurdles Repechage - Heat 2;Men's 110m Hurdles Repechage - Heat 3;Men's 110m Hurdles Round 1 - Heat 1;Men's 110m Hurdles Round 1 - Heat 2;Men's 110m Hurdles Round 1 - Heat 3;Men's 110m Hurdles Round 1 - Heat 4;Men's 110m Hurdles Round 1 - Heat 5;Men's 110m Hurdles Semi-Final 1;Men's 110m Hurdles Semi-Final 2;Men's 110m Hurdles Semi-Final 3,True
ATHM1500M,Men's 1500m,M,Athletics,ATH,Men's 1500m Final;Men's 1500m Repechage - Heat 1;Men's 1500m Repechage - Heat 2;Men's 1500m Round 1 - Heat 1;Men's 1500m Round 1 - Heat 2;Men's 1500m Round 1 - Heat 3;Men's 1500m Semi-Final 1;Men's 1500m Semi-Final 2,True
ATHM200M,Men's 200m,M,Athletics,ATH,Men's 200m Final;Men's 200m Repechage - Heat 1;Men's 200m Repechage - Heat 2;Men's 200m Repechage - Heat 3;Men's 200m Repechage - Heat 4;Men's 200m Round 1 - Heat 1;Men's 200m Round 1 - Heat 2;Men's 200m Round 1 - Heat 3;Men's 200m Round 1 - Heat 4;Men's 200m Round 1 - Heat 5;Men's 200m Round 1 - Heat 6;Men's 200m Semi-Final 1;Men's 200m Semi-Final 2;Men's 200m Semi-Final 3,True
