session_id:ID(Session-ID),start_datetime,end_datetime,day,status,sport,sport_code,event_phase,event_name,gender,event_type,medal_session,venue_code
bdm-men-s-doubles-2024-07-29t08-30-00-02-00,2024-07-29T08:30:00+02:00,2024-07-29T08:30:00+02:00,2024-07-29,CANCELLED,Badminton,BDM,Men's Doubles Group Play Stage - Grp C,Men's Doubles,M,HCOUP,0,CPL
bdm-men-s-doubles-2024-07-30t14-50-00-02-00,2024-07-30T14:50:00+02:00,2024-07-30T14:50:00+02:00,2024-07-30,CANCELLED,Badminton,BDM,Men's Doubles Group Play Stage - Grp C,Men's Doubles,M,HCOUP,0,CPL
bdm-men-s-singles-2024-07-29t14-00-00-02-00,2024-07-29T14:00:00+02:00,2024-07-29T14:00:00+02:00,2024-07-29,CANCELLED,Badminton,BDM,Men's Singles Group Play Stage - Grp L,Men's Singles,M,HATH,0,CPL
bdm-men-s-singles-2024-07-31t09-20-00-02-00,2024-07-31T09:20:00+02:00,2024-07-31T09:20:00+02:00,2024-07-31,CANCELLED,Badminton,BDM,Men's Singles Group Play Stage - Grp L,Men's Singles,M,HATH,0,CPL
ctr-men-s-sprint-2024-08-09t15-52-00-02-00,2024-08-09T15:52:00+02:00,2024-08-09T15:52:00+02:00,2024-08-09,CANCELLED,Cycling Track,CTR,"Men's Sprint, Semifinals",Men's Sprint,M,ATH,0,VE1
ctr-women-s-sprint-2024-08-10t20-14-00-02-00,2024-08-10T20:14:00+02:00,2024-08-10T20:14:00+02:00,2024-08-10,CANCELLED,Cycling Track,CTR,"Women's Sprint, Quarterfinals",Women's Sprint,W,ATH,0,VE1
ctr-women-s-sprint-2024-08-11t13-44-00-02-00,2024-08-11T13:44:00+02:00,2024-08-11T13:44:00+02:00,2024-08-11,CANCELLED,Cycling Track,CTR,"Women's Sprint, Finals",Women's Sprint,W,ATH,0,VE1
en-news-jo-paris-2024-ceremonie-cloture-stade-de-france,2024-08-11T21:00:00+02:00,,2024-08-11,SCHEDULED,Closing Ceremony,CER,,,,,0,anon-1
en-paris-2024-results-3x3-basketball-men-fnl-000100,2024-08-05T22:30:00+02:00,2024-08-05T22:55:00+02:00,2024-08-05,FINISHED,3x3 Basketball,BK3,Men's Finals,Men,M,HTEAM,1,LC1
en-paris-2024-results-3x3-basketball-men-fnl-000200,2024-08-05T21:30:00+02:00,2024-08-05T21:55:00+02:00,2024-08-05,FINISHED,3x3 Basketball,BK3,Men's Finals,Men,M,HTEAM,3,LC1
