team_code:ID(Team-ID),name,gender,country_code,country,discipline,discipline_code,events,num_athletes,num_coaches
ARCMTEAM3---CHN01,People's Republic of China,M,CHN,China,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---COL01,Colombia,M,COL,Colombia,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---FRA01,France,M,FRA,France,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---GBR01,Great Britain,M,GBR,Great Britain,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---IND01,India,M,IND,India,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---ITA01,Italy,M,ITA,Italy,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---JPN01,Japan,M,JPN,Japan,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---KAZ01,Kazakhstan,M,KAZ,Kazakhstan,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---KOR01,Republic of Korea,M,KOR,Korea,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---MEX01,Mexico,M,MEX,Mexico,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---TPE01,Chinese Taipei,M,TPE,Chinese Taipei,Archery,ARC,Men's Team,3.0,
ARCMTEAM3---TUR01,Türkiye,M,TUR,Türkiye,Archery,ARC,Men's Team,3.0,
ARCWTEAM3---CHN01,People's Republic of China,W,CHN,China,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---FRA01,France,W,FRA,France,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---GBR01,Great Britain,W,GBR,Great Britain,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---GER01,Germany,W,GER,Germany,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---INA01,Indonesia,W,INA,Indonesia,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---IND01,India,W,IND,India,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---KOR01,Republic of Korea,W,KOR,Korea,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---MAS01,Malaysia,W,MAS,Malaysia,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---MEX01,Mexico,W,MEX,Mexico,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---NED01,Netherlands,W,NED,Netherlands,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---TPE01,Chinese Taipei,W,TPE,Chinese Taipei,Archery,ARC,Women's Team,3.0,
ARCWTEAM3---USA01,United States of America,W,USA,United States,Archery,ARC,Women's Team,3.0,
