:START_ID(Athlete-ID),:END_ID(Country-ID),:TYPE
1532872,ARM,REPRESENTS
1532873,ARM,REPRESENTS
1532874,ARM,REPRESENTS
1532944,ARM,REPRESENTS
1532945,ARM,REPRESENTS
1532951,COL,REPRESENTS
1533112,JAM,REPRESENTS
1533136,GAM,REPRESENTS
1533176,GAM,REPRESENTS
1533188,MEX,REPRESENTS
1533189,MEX,REPRESENTS
1533190,MEX,REPRESENTS
1533208,COM,REPRESENTS
1533209,COM,REPRESENTS
1533230,MEX,REPRESENTS
1533231,MEX,REPRESENTS
1533232,MEX,REPRESENTS
1533234,MEX,REPRESENTS
1533235,MEX,REPRESENTS
1533237,MEX,REPRESENTS
1533239,MEX,REPRESENTS
1533240,MEX,REPRESENTS
1533243,MEX,REPRESENTS
1533245,IRQ,REPRESENTS
1533359,IRQ,REPRESENTS
1533364,DJI,REPRESENTS
1533371,DJI,REPRESENTS
1533372,DJI,REPRESENTS
1533374,DJI,REPRESENTS
1533378,DJI,REPRESENTS
1535180,COM,REPRESENTS
1535186,MEX,REPRESENTS
1535187,MEX,REPRESENTS
1535191,MEX,REPRESENTS
1535195,MEX,REPRESENTS
1535199,MEX,REPRESENTS
1535201,MEX,REPRESENTS
1535202,MEX,REPRESENTS
1535203,MEX,REPRESENTS
1535212,MEX,REPRESENTS
1535214,MEX,REPRESENTS
1535216,MEX,REPRESENTS
1535217,MEX,REPRESENTS
1535222,MEX,REPRESENTS
1535225,MEX,REPRESENTS
1535226,MEX,REPRESENTS
1535252,MEX,REPRESENTS
1535260,MEX,REPRESENTS
1535267,MEX,REPRESENTS
1535310,COL,REPRESENTS
1535343,MEX,REPRESENTS
1535345,MEX,REPRESENTS
1535346,MEX,REPRESENTS
1535348,MEX,REPRESENTS
1535349,MEX,REPRESENTS
1535350,MEX,REPRESENTS
1535351,MEX,REPRESENTS
1535354,MEX,REPRESENTS
1535356,MEX,REPRESENTS
1535357,MEX,REPRESENTS
1535358,MEX,REPRESENTS
1535359,MEX,REPRESENTS
1535360,MEX,REPRESENTS
1535361,MEX,REPRESENTS
1535362,MEX,REPRESENTS
1535363,MEX,REPRESENTS
1535364,MEX,REPRESENTS
1535365,MEX,REPRESENTS
1535366,MEX,REPRESENTS
1535367,MEX,REPRESENTS
1535368,MEX,REPRESENTS
1535373,UAE,REPRESENTS
1535374,UAE,REPRESENTS
1535375,UAE,REPRESENTS
1535376,UAE,REPRESENTS
1535383,UAE,REPRESENTS
1535385,DJI,REPRESENTS
1535395,UAE,REPRESENTS
1535420,MEX,REPRESENTS
1535429,MEX,REPRESENTS
1535430,MEX,REPRESENTS
1535433,MEX,REPRESENTS
1535438,MEX,REPRESENTS
1535439,MEX,REPRESENTS
1535440,MEX,REPRESENTS
1535441,MEX,REPRESENTS
1535442,MEX,REPRESENTS
1535444,MEX,REPRESENTS
1535448,MEX,REPRESENTS
1535449,MEX,REPRESENTS
1535505,COL,REPRESENTS
1535506,COL,REPRESENTS
1535511,COL,REPRESENTS
1535512,COL,REPRESENTS
1535513,COL,REPRESENTS
1535514,COL,REPRESENTS
1535522,COL,REPRESENTS
1535524,COL,REPRESENTS
1535609,IRI,REPRESENTS
1535660,MAW,REPRESENTS
1535693,UAE,REPRESENTS
1535729,ARG,REPRESENTS
1535766,IRQ,REPRESENTS
1535776,IRQ,REPRESENTS
1535804,IRQ,REPRESENTS
1535805,IRQ,REPRESENTS
1535852,SGP,REPRESENTS
1535853,SGP,REPRESENTS
1535854,SGP,REPRESENTS
1535856,SGP,REPRESENTS
1535858,SGP,REPRESENTS
1535910,IRQ,REPRESENTS
1535913,IRQ,REPRESENTS
1535914,MAS,REPRESENTS
1535916,IRQ,REPRESENTS
1535918,MAS,REPRESENTS
1535925,MAS,REPRESENTS
1535926,MAS,REPRESENTS
1535927,IRQ,REPRESENTS
1535928,IRQ,REPRESENTS
1535929,IRQ,REPRESENTS
1535930,IRQ,REPRESENTS
1535959,MTN,REPRESENTS
1535993,SGP,REPRESENTS
1536032,MEX,REPRESENTS
1536045,IRI,REPRESENTS
1536058,IRI,REPRESENTS
1536064,IRI,REPRESENTS
1536067,IRI,REPRESENTS
1536157,GAB,REPRESENTS
1536175,DJI,REPRESENTS
1536184,MEX,REPRESENTS
1536190,MEX,REPRESENTS
1536196,MEX,REPRESENTS
1536197,MEX,REPRESENTS
1536198,MEX,REPRESENTS
1536207,IRI,REPRESENTS
1536214,IRI,REPRESENTS
1536215,IRI,REPRESENTS
1536233,IRQ,REPRESENTS
1536251,IND,REPRESENTS
1536341,MEX,REPRESENTS
1536368,IND,REPRESENTS
1536371,IND,REPRESENTS
1536372,ETH,REPRESENTS
1536460,MEX,REPRESENTS
1536467,MEX,REPRESENTS
1536479,MEX,REPRESENTS
1536494,MEX,REPRESENTS
1536495,MEX,REPRESENTS
1536496,ETH,REPRESENTS
1536497,ETH,REPRESENTS
1536498,ETH,REPRESENTS
1536522,IND,REPRESENTS
1536523,IND,REPRESENTS
1536568,ETH,REPRESENTS
1536585,MEX,REPRESENTS
1536599,MEX,REPRESENTS
1536600,MEX,REPRESENTS
1536624,IRI,REPRESENTS
1536632,IRI,REPRESENTS
1536648,SGP,REPRESENTS
1536649,SGP,REPRESENTS
1536650,SGP,REPRESENTS
1536651,SGP,REPRESENTS
1536669,IRI,REPRESENTS
1536683,IRI,REPRESENTS
1536701,IRI,REPRESENTS
1536721,IND,REPRESENTS
1536885,JAM,REPRESENTS
1536925,SKN,REPRESENTS
1536961,IRI,REPRESENTS
1536971,IRI,REPRESENTS
1536983,ETH,REPRESENTS
1536990,ETH,REPRESENTS
1536992,ETH,REPRESENTS
1536996,IRI,REPRESENTS
1536997,CGO,REPRESENTS
1536998,ETH,REPRESENTS
1536999,ETH,REPRESENTS
1537001,ETH,REPRESENTS
1537002,CGO,REPRESENTS
1537010,CGO,REPRESENTS
1537012,IND,REPRESENTS
1537049,ETH,REPRESENTS
1537052,ETH,REPRESENTS
1537053,ETH,REPRESENTS
1537057,ETH,REPRESENTS
1537066,ETH,REPRESENTS
1537069,ETH,REPRESENTS
1537079,ETH,REPRESENTS
1537135,SGP,REPRESENTS
1537137,SGP,REPRESENTS
1537144,PUR,REPRESENTS
1537145,PUR,REPRESENTS
1537149,PUR,REPRESENTS
1537150,PUR,REPRESENTS
1537163,ISV,REPRESENTS
1537168,PUR,REPRESENTS
1537180,ARG,REPRESENTS
1537183,PUR,REPRESENTS
1537185,LCA,REPRESENTS
1537187,PUR,REPRESENTS
1537188,PUR,REPRESENTS
1537189,PUR,REPRESENTS
1537191,MEX,REPRESENTS
1537203,JAM,REPRESENTS
1537204,MEX,REPRESENTS
1537209,ARG,REPRESENTS
1537256,MHL,REPRESENTS
1537272,MHL,REPRESENTS
1537273,MHL,REPRESENTS
1537276,MEX,REPRESENTS
1537286,MEX,REPRESENTS
1537287,MEX,REPRESENTS
1537312,IRI,REPRESENTS
1537323,IRQ,REPRESENTS
1537325,LCA,REPRESENTS
1537331,LCA,REPRESENTS
1537336,IRQ,REPRESENTS
1537345,ETH,REPRESENTS
1537349,JOR,REPRESENTS
1537368,ETH,REPRESENTS
1537375,IRI,REPRESENTS
1537376,JOR,REPRESENTS
1537377,OMA,REPRESENTS
1537394,OMA,REPRESENTS
1537401,JOR,REPRESENTS
1537402,IND,REPRESENTS
1537405,IND,REPRESENTS
1537465,ARG,REPRESENTS
1537510,ARG,REPRESENTS
1537518,ARG,REPRESENTS
1537531,ARG,REPRESENTS
1537538,ARG,REPRESENTS
1537547,ARG,REPRESENTS
1537549,GHA,REPRESENTS
1537579,LCA,REPRESENTS
1537661,LBA,REPRESENTS
1537667,LBA,REPRESENTS
1537686,ALG,REPRESENTS
1537927,ARG,REPRESENTS
1537929,ARG,REPRESENTS
1537932,ARG,REPRESENTS
1538007,CAY,REPRESENTS
1538028,ARG,REPRESENTS
1538040,ARG,REPRESENTS
1538041,ARG,REPRESENTS
1538044,ARG,REPRESENTS
1538048,ARG,REPRESENTS
1538059,GUY,REPRESENTS
1538078,IND,REPRESENTS
1538084,IND,REPRESENTS
1538096,IND,REPRESENTS
1538104,IND,REPRESENTS
1538124,AIN,REPRESENTS
1538136,IND,REPRESENTS
1538146,IND,REPRESENTS
1538150,AIN,REPRESENTS
1538151,IND,REPRESENTS
1538153,AIN,REPRESENTS
1538154,IND,REPRESENTS
1538157,IND,REPRESENTS
1538159,IND,REPRESENTS
1538160,AIN,REPRESENTS
1538161,IND,REPRESENTS
1538190,IND,REPRESENTS
1538193,IND,REPRESENTS
1538234,VIN,REPRESENTS
1538243,VIN,REPRESENTS
1538244,ARG,REPRESENTS
1538253,ARG,REPRESENTS
1538260,ARG,REPRESENTS
1538261,ARG,REPRESENTS
1538262,ARG,REPRESENTS
1538263,ARG,REPRESENTS
1538266,ARG,REPRESENTS
1538274,ARG,REPRESENTS
1538276,ARG,REPRESENTS
1538277,ARG,REPRESENTS
1538294,ARG,REPRESENTS
1538295,ARG,REPRESENTS
1538299,ARG,REPRESENTS
1538304,ARG,REPRESENTS
1538305,ARG,REPRESENTS
1538363,ARG,REPRESENTS
1538365,ARG,REPRESENTS
1538366,ARG,REPRESENTS
1538367,ARG,REPRESENTS
1538370,ARG,REPRESENTS
1538372,ARG,REPRESENTS
1538375,ARG,REPRESENTS
1538378,ARG,REPRESENTS
1538379,ARG,REPRESENTS
1538380,ARG,REPRESENTS
1538386,IRI,REPRESENTS
1538396,IRI,REPRESENTS
1538415,IRI,REPRESENTS
1538421,IRI,REPRESENTS
1538436,IRI,REPRESENTS
1538442,IRI,REPRESENTS
1538449,ROU,REPRESENTS
1538482,ALG,REPRESENTS
1538488,BRN,REPRESENTS
1538504,CIV,REPRESENTS
1538505,CIV,REPRESENTS
1538622,UZB,REPRESENTS
1538627,UZB,REPRESENTS
1538632,UZB,REPRESENTS
1538648,IRI,REPRESENTS
1538662,SGP,REPRESENTS
1538729,ARG,REPRESENTS
1538734,ARG,REPRESENTS
1538737,ARG,REPRESENTS
1538740,ARG,REPRESENTS
1538741,ARG,REPRESENTS
1538742,ARG,REPRESENTS
1538800,ARG,REPRESENTS
1538830,JAM,REPRESENTS
1538875,ARG,REPRESENTS
1538878,ARG,REPRESENTS
1538893,JAM,REPRESENTS
1538903,BER,REPRESENTS
1538904,JAM,REPRESENTS
1538910,BER,REPRESENTS
1538934,ROU,REPRESENTS
1538935,ROU,REPRESENTS
1538937,ROU,REPRESENTS
1538939,ROU,REPRESENTS
1538999,ROU,REPRESENTS
1539000,ROU,REPRESENTS
1539008,ROU,REPRESENTS
1539114,IND,REPRESENTS
1539123,IND,REPRESENTS
1539125,IND,REPRESENTS
1539131,LUX,REPRESENTS
1539157,IND,REPRESENTS
1539180,IND,REPRESENTS
1539183,IND,REPRESENTS
1539188,IND,REPRESENTS
1539303,ROU,REPRESENTS
1539314,ROU,REPRESENTS
1539328,ROU,REPRESENTS
1539340,ROU,REPRESENTS
1539342,ROU,REPRESENTS
1539412,MAW,REPRESENTS
1539497,ARG,REPRESENTS
1539505,GUY,REPRESENTS
1539510,GUY,REPRESENTS
1539530,GUY,REPRESENTS
1539532,GUY,REPRESENTS
1539540,SKN,REPRESENTS
1539547,CIV,REPRESENTS
1539548,CIV,REPRESENTS
1539607,IND,REPRESENTS
1539611,IND,REPRESENTS
1539615,IND,REPRESENTS
1539628,IND,REPRESENTS
1539636,IND,REPRESENTS
1539643,IND,REPRESENTS
1539683,MAR,REPRESENTS
