:START_ID(Athlete-ID),:END_ID(Event-ID),medal_type,medal_date,:TYPE
1532872,WREMGR97KG,Silver Medal,2024-08-07,WON_MEDAL
1532873,WREMGR77KG,Bronze Medal,2024-08-07,WON_MEDAL
1535187,BOXM71KG,Silver Medal,2024-08-09,WON_MEDAL
1535349,DIVM3M,Bronze Medal,2024-08-08,WON_MEDAL
1535349,DIVM3MTEAM2,Silver Medal,2024-08-02,WON_MEDAL
1535420,ARCWTEAM3,Bronze Medal,2024-07-28,WON_MEDAL
1535429,ARCWTEAM3,Bronze Medal,2024-07-28,WON_MEDAL
1535513,WREWFS76KG,Bronze Medal,2024-08-11,WON_MEDAL
1535852,SALMFORMKITE,Bronze Medal,2024-08-09,WON_MEDAL
1536045,TKWMO80KG,Gold Medal,2024-08-10,WON_MEDAL
1536058,TKWM80KG,Silver Medal,2024-08-09,WON_MEDAL
1536064,TKWW49KG,Bronze Medal,2024-08-07,WON_MEDAL
1536067,TKWW57KG,Silver Medal,2024-08-08,WON_MEDAL
1536197,DIVM3MTEAM2,Silver Medal,2024-08-02,WON_MEDAL
1536479,ARCWTEAM3,Bronze Medal,2024-07-28,WON_MEDAL
1536498,ATHW800M,Silver Medal,2024-08-05,WON_MEDAL
1536885,ATHWTRPLJUMP,Silver Medal,2024-08-03,WON_MEDAL
1536998,ATHM10000M,Silver Medal,2024-08-02,WON_MEDAL
1537183,ATHW100MHURD,Bronze Medal,2024-08-10,WON_MEDAL
1537188,WREMFS65KG,Bronze Medal,2024-08-11,WON_MEDAL
1537287,JUDW63KG,Silver Medal,2024-07-30,WON_MEDAL
1537325,ATHW100M,Gold Medal,2024-08-03,WON_MEDAL
1537325,ATHW200M,Silver Medal,2024-08-06,WON_MEDAL
1537401,TKWM68KG,Silver Medal,2024-08-08,WON_MEDAL
1538028,SALXNACRA17,Silver Medal,2024-08-08,WON_MEDAL
1538041,SALXNACRA17,Silver Medal,2024-08-08,WON_MEDAL
1538084,SHOMR3PM,Bronze Medal,2024-08-01,WON_MEDAL
1538159,SHOWAPW,Bronze Medal,2024-07-28,WON_MEDAL
1538159,SHOXAPMT,Bronze Medal,2024-07-30,WON_MEDAL
1538160,ROWMSCULL1,Silver Medal,2024-08-03,WON_MEDAL
1538244,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538253,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538260,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538261,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538262,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538263,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538266,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538274,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538276,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538277,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538294,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538295,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538299,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538304,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1538305,HOCWTEAM11,Bronze Medal,2024-08-09,WON_MEDAL
1539969,SWMM1500MFR,Bronze Medal,2024-08-04,WON_MEDAL
1539969,SWMM800MFR,Gold Medal,2024-07-30,WON_MEDAL
1539986,GARM1APPH,Gold Medal,2024-08-03,WON_MEDAL
1540305,WREMFS97KG,Gold Medal,2024-08-11,WON_MEDAL
1540334,WLFMO102KG,Bronze Medal,2024-08-10,WON_MEDAL
1540353,BOXW66KG,Gold Medal,2024-08-09,WON_MEDAL
1541265,ARCWINDIVID,Bronze Medal,2024-08-03,WON_MEDAL
1541270,ARCMTEAM3,Silver Medal,2024-07-29,WON_MEDAL
1541272,ARCMTEAM3,Silver Medal,2024-07-29,WON_MEDAL
1541275,ARCMTEAM3,Silver Medal,2024-07-29,WON_MEDAL
1541614,BDMXDOUBLES,Bronze Medal,2024-08-02,WON_MEDAL
1541619,BDMXDOUBLES,Bronze Medal,2024-08-02,WON_MEDAL
1541629,BDMWDOUBLES,Bronze Medal,2024-08-03,WON_MEDAL
1541630,BDMWDOUBLES,Bronze Medal,2024-08-03,WON_MEDAL
1543015,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543017,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543019,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543020,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543021,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543022,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543024,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543026,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543028,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543029,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543030,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543031,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543033,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543059,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543061,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543064,HOCMTEAM11,Bronze Medal,2024-08-08,WON_MEDAL
1543088,WREMFS125KG,Silver Medal,2024-08-10,WON_MEDAL
