:START_ID(Athlete-ID),:END_ID(Team-ID),:TYPE
1532951,ATHX42KWALKTCOL01,MEMBER_OF
1533188,TRIXTEAM4---MEX01,MEMBER_OF
1533189,TRIXTEAM4---MEX01,MEMBER_OF
1533190,TRIXTEAM4---MEX01,MEMBER_OF
1533230,SWAWTEAM2---MEX01,MEMBER_OF
1533230,SWAWTEAM8---MEX01,MEMBER_OF
1533231,SWAWTEAM2---MEX01,MEMBER_OF
1533231,SWAWTEAM8---MEX01,MEMBER_OF
1533232,SWAWTEAM8---MEX01,MEMBER_OF
1533234,SWAWTEAM8---MEX01,MEMBER_OF
1533235,SWAWTEAM8---MEX01,MEMBER_OF
1533237,SWAWTEAM8---MEX01,MEMBER_OF
1533239,SWAWTEAM8---MEX01,MEMBER_OF
1533240,SWAWTEAM8---MEX01,MEMBER_OF
1533243,SWAWTEAM8---MEX01,MEMBER_OF
1535191,ATHX42KWALKTMEX01,MEMBER_OF
1535222,ATHX42KWALKTMEX01,MEMBER_OF
1535260,ROWMSCULL2-LMEX01,MEMBER_OF
1535267,ROWMSCULL2-LMEX01,MEMBER_OF
1535343,DIVM10MTEAM2MEX01,MEMBER_OF
1535345,DIVM10MTEAM2MEX01,MEMBER_OF
1535346,DIVW10MTEAM2MEX01,MEMBER_OF
1535348,DIVW10MTEAM2MEX01,MEMBER_OF
1535349,DIVM3MTEAM2-MEX01,MEMBER_OF
1535350,EQUOJUMPTEAMMEX01,MEMBER_OF
1535351,EQUOJUMPTEAMMEX01,MEMBER_OF
1535358,GRYW5AA-----MEX01,MEMBER_OF
1535359,GRYW5AA-----MEX01,MEMBER_OF
1535360,GRYW5AA-----MEX01,MEMBER_OF
1535361,GRYW5AA-----MEX01,MEMBER_OF
1535362,GRYW5AA-----MEX01,MEMBER_OF
1535420,ARCWTEAM3---MEX01,MEMBER_OF
1535420,ARCXTEAM2---MEX01,MEMBER_OF
1535429,ARCWTEAM3---MEX01,MEMBER_OF
1535430,ARCMTEAM3---MEX01,MEMBER_OF
1535430,ARCXTEAM2---MEX01,MEMBER_OF
1535438,SHOXARMT----MEX01,MEMBER_OF
1535442,TRIXTEAM4---MEX01,MEMBER_OF
1535448,CSPWK2-500M-MEX01,MEMBER_OF
1535449,CSPWK2-500M-MEX01,MEMBER_OF
1535693,EQUOJUMPTEAMUAE01,MEMBER_OF
1535766,FBLMTEAM11--IRQ01,MEMBER_OF
1535776,FBLMTEAM11--IRQ01,MEMBER_OF
1535804,FBLMTEAM11--IRQ01,MEMBER_OF
1535805,FBLMTEAM11--IRQ01,MEMBER_OF
1535854,SWMW4X100MMDSGP01,MEMBER_OF
1535910,FBLMTEAM11--IRQ01,MEMBER_OF
1535913,FBLMTEAM11--IRQ01,MEMBER_OF
1535916,FBLMTEAM11--IRQ01,MEMBER_OF
1535927,FBLMTEAM11--IRQ01,MEMBER_OF
1535928,FBLMTEAM11--IRQ01,MEMBER_OF
1535929,FBLMTEAM11--IRQ01,MEMBER_OF
1535930,FBLMTEAM11--IRQ01,MEMBER_OF
1536197,DIVM3MTEAM2-MEX01,MEMBER_OF
1536460,ARCMTEAM3---MEX01,MEMBER_OF
1536467,ARCMTEAM3---MEX01,MEMBER_OF
1536479,ARCWTEAM3---MEX01,MEMBER_OF
1536600,ATHX42KWALKTMEX01,MEMBER_OF
1536649,BDMXDOUBLES-SGP01,MEMBER_OF
1536650,BDMXDOUBLES-SGP01,MEMBER_OF
1537323,FBLMTEAM11--IRQ01,MEMBER_OF
1537336,FBLMTEAM11--IRQ01,MEMBER_OF
1537929,SHOXARMT----ARG01,MEMBER_OF
1537932,SHOXARMT----ARG01,MEMBER_OF
1538028,SALXNACRA17-ARG01,MEMBER_OF
1538041,SALXNACRA17-ARG01,MEMBER_OF
1538096,TTEWTEAM----IND01,MEMBER_OF
1538104,TTEMTEAM----IND01,MEMBER_OF
1538136,TTEWTEAM----IND01,MEMBER_OF
1538146,SHOXSKMT----IND01,MEMBER_OF
1538151,TTEMTEAM----IND01,MEMBER_OF
1538159,SHOXAPMT----IND01,MEMBER_OF
1538159,T103223108185,MEMBER_OF
1538159,T229196244224,MEMBER_OF
1538159,T246209147071,MEMBER_OF
1538161,SHOXARMT----IND01,MEMBER_OF
1538190,TTEMTEAM----IND01,MEMBER_OF
1538193,TTEWTEAM----IND01,MEMBER_OF
1538244,HOCWTEAM11--ARG01,MEMBER_OF
1538253,HOCWTEAM11--ARG01,MEMBER_OF
1538260,HOCWTEAM11--ARG01,MEMBER_OF
1538261,HOCWTEAM11--ARG01,MEMBER_OF
1538262,HOCWTEAM11--ARG01,MEMBER_OF
1538263,HOCWTEAM11--ARG01,MEMBER_OF
1538266,HOCWTEAM11--ARG01,MEMBER_OF
1538274,HOCWTEAM11--ARG01,MEMBER_OF
1538276,HOCWTEAM11--ARG01,MEMBER_OF
1538277,HOCWTEAM11--ARG01,MEMBER_OF
1538294,HOCWTEAM11--ARG01,MEMBER_OF
1538295,HOCWTEAM11--ARG01,MEMBER_OF
1538299,HOCWTEAM11--ARG01,MEMBER_OF
1538304,HOCWTEAM11--ARG01,MEMBER_OF
1538305,HOCWTEAM11--ARG01,MEMBER_OF
1538363,HOCMTEAM11--ARG01,MEMBER_OF
1538365,HOCMTEAM11--ARG01,MEMBER_OF
1538366,HOCMTEAM11--ARG01,MEMBER_OF
1538367,HOCMTEAM11--ARG01,MEMBER_OF
1538370,HOCMTEAM11--ARG01,MEMBER_OF
1538372,HOCMTEAM11--ARG01,MEMBER_OF
1538375,HOCMTEAM11--ARG01,MEMBER_OF
1538378,HOCMTEAM11--ARG01,MEMBER_OF
1538379,HOCMTEAM11--ARG01,MEMBER_OF
1538380,HOCMTEAM11--ARG01,MEMBER_OF
1538386,ROWWSCULL2-LIRI01,MEMBER_OF
1538396,ROWWSCULL2-LIRI01,MEMBER_OF
1538505,ATHW4X100M--CIV01,MEMBER_OF
1538505,T96112474,MEMBER_OF
1538622,ROWMSCULL2-LUZB01,MEMBER_OF
1538632,ROWMSCULL2-LUZB01,MEMBER_OF
1538729,HOCMTEAM11--ARG01,MEMBER_OF
1538734,HOCMTEAM11--ARG01,MEMBER_OF
1538737,HOCMTEAM11--ARG01,MEMBER_OF
1538740,HOCMTEAM11--ARG01,MEMBER_OF
1538741,HOCMTEAM11--ARG01,MEMBER_OF
1538742,HOCMTEAM11--ARG01,MEMBER_OF
1539123,BDMMDOUBLES-IND01,MEMBER_OF
1539125,BDMMDOUBLES-IND01,MEMBER_OF
1539183,BDMWDOUBLES-IND01,MEMBER_OF
1539188,BDMWDOUBLES-IND01,MEMBER_OF
1539548,ATHW4X100M--CIV01,MEMBER_OF
1539615,SHOXSKMT----IND01,MEMBER_OF
1539636,SHOXARMT----IND02,MEMBER_OF
1539643,SHOXAPMT----IND02,MEMBER_OF
1539720,SHOXARMT----IND01,MEMBER_OF
1539754,SHOXARMT----IND02,MEMBER_OF
1539767,SHOXAPMT----IND02,MEMBER_OF
1539950,RU7MTEAM7---IRL01,MEMBER_OF
1539951,RU7MTEAM7---IRL01,MEMBER_OF
1539952,RU7MTEAM7---IRL01,MEMBER_OF
1539966,SWMW4X100MFRIRL01,MEMBER_OF
1539968,SWMM4X100MMDIRL01,MEMBER_OF
1539974,CTRWMADISON-IRL01,MEMBER_OF
1539974,CTRWPURTEAM4IRL01,MEMBER_OF
1539976,CTRWPURTEAM4IRL01,MEMBER_OF
1539977,CTRWPURTEAM4IRL01,MEMBER_OF
1539978,CTRWPURTEAM4IRL01,MEMBER_OF
1539982,CTRWMADISON-IRL01,MEMBER_OF
1539982,CTRWPURTEAM4IRL01,MEMBER_OF
1539990,ROWWNOCOX2--IRL01,MEMBER_OF
1539991,ROWWNOCOX4--IRL01,MEMBER_OF
1539992,ROWWNOCOX4--IRL01,MEMBER_OF
1539993,ROWWSCULL2-LIRL01,MEMBER_OF
1539998,ROWWNOCOX2--IRL01,MEMBER_OF
1540108,HBLMTEAM7---ARG01,MEMBER_OF
1540112,HBLMTEAM7---ARG01,MEMBER_OF
1540120,HBLMTEAM7---ARG01,MEMBER_OF
1540143,HBLMTEAM7---ARG01,MEMBER_OF
1540144,HBLMTEAM7---ARG01,MEMBER_OF
1540175,HBLMTEAM7---ARG01,MEMBER_OF
1540177,HBLMTEAM7---ARG01,MEMBER_OF
1540178,HBLMTEAM7---ARG01,MEMBER_OF
1540179,HBLMTEAM7---ARG01,MEMBER_OF
1540180,HBLMTEAM7---ARG01,MEMBER_OF
1540181,HBLMTEAM7---ARG01,MEMBER_OF
1540497,HBLMTEAM7---ARG01,MEMBER_OF
1540498,HBLMTEAM7---ARG01,MEMBER_OF
1540499,HBLMTEAM7---ARG01,MEMBER_OF
1540516,HBLMTEAM7---ARG01,MEMBER_OF
1540533,RU7MTEAM7---ARG01,MEMBER_OF
1540534,RU7MTEAM7---ARG01,MEMBER_OF
1540536,RU7MTEAM7---ARG01,MEMBER_OF
1540537,RU7MTEAM7---ARG01,MEMBER_OF
1540538,RU7MTEAM7---ARG01,MEMBER_OF
1540539,RU7MTEAM7---ARG01,MEMBER_OF
1540543,RU7MTEAM7---ARG01,MEMBER_OF
1540603,RU7MTEAM7---ARG01,MEMBER_OF
1540605,RU7MTEAM7---ARG01,MEMBER_OF
1540621,RU7MTEAM7---ARG01,MEMBER_OF
1540623,RU7MTEAM7---ARG01,MEMBER_OF
1540624,RU7MTEAM7---ARG01,MEMBER_OF
1540625,RU7MTEAM7---ARG01,MEMBER_OF
1540710,SHOXARMT----MEX01,MEMBER_OF
1540717,ATHW4X100M--CIV01,MEMBER_OF
1540717,T96112474,MEMBER_OF
1541265,ARCWTEAM3---FRA01,MEMBER_OF
1541265,ARCXTEAM2---FRA01,MEMBER_OF
1541266,ARCWTEAM3---FRA01,MEMBER_OF
