:START_ID(Coach-ID),:END_ID(Team-ID),:TYPE
1533246,SWAWTEAM2---MEX01,COACHES
1533246,SWAWTEAM8---MEX01,COACHES
1535569,FENMTEAMSABRIRI01,COACHES
1535775,FBLMTEAM11--IRQ01,COACHES
1536328,SWAWTEAM2---MEX01,COACHES
1536328,SWAWTEAM8---MEX01,COACHES
1538313,HOCWTEAM11--ARG01,COACHES
1538315,HOCWTEAM11--ARG01,COACHES
1538317,HOCWTEAM11--ARG01,COACHES
1538318,HOCWTEAM11--ARG01,COACHES
1538320,HOCWTEAM11--ARG01,COACHES
1538324,HOCWTEAM11--ARG01,COACHES
1538327,HOCMTEAM11--ARG01,COACHES
1538327,HOCWTEAM11--ARG01,COACHES
1538329,HOCWTEAM11--ARG01,COACHES
1538745,HOCMTEAM11--ARG01,COACHES
1538746,HOCMTEAM11--ARG01,COACHES
1538748,HOCMTEAM11--ARG01,COACHES
1538749,HOCMTEAM11--ARG01,COACHES
1538751,HOCMTEAM11--ARG01,COACHES
1538754,HOCMTEAM11--ARG01,COACHES
1540522,HBLMTEAM7---ARG01,COACHES
1540527,HBLMTEAM7---ARG01,COACHES
1540630,RU7MTEAM7---ARG01,COACHES
1540632,RU7MTEAM7---ARG01,COACHES
1540633,RU7MTEAM7---ARG01,COACHES
1540638,RU7MTEAM7---ARG01,COACHES
1540639,RU7MTEAM7---ARG01,COACHES
1541507,FENMTEAMSABRIRI01,COACHES
1543574,HOCMTEAM11--IND01,COACHES
1543575,HOCMTEAM11--IND01,COACHES
1543576,HOCMTEAM11--IND01,COACHES
1543578,HOCMTEAM11--IND01,COACHES
1544157,SWAWTEAM2---GBR01,COACHES
1544158,SWAWTEAM2---GBR01,COACHES
1544489,RU7WTEAM7---IRL01,COACHES
1545096,HOCMTEAM11--IND01,COACHES
1545098,HOCMTEAM11--IND01,COACHES
1550039,BKBWTEAM5---PUR01,COACHES
1550047,BKBWTEAM5---PUR01,COACHES
1555115,RU7MTEAM7---IRL01,COACHES
1555115,RU7WTEAM7---IRL01,COACHES
1555126,RU7WTEAM7---IRL01,COACHES
1556249,WPOMTEAM7---ROU01,COACHES
1556250,WPOMTEAM7---ROU01,COACHES
1556255,WPOMTEAM7---ROU01,COACHES
1559026,FENMTEAMEPEEITA01,COACHES
1559026,FENWTEAMEPEEITA01,COACHES
1559048,HBLWTEAM7---SWE01,COACHES
1559051,HBLWTEAM7---SWE01,COACHES
1559053,HBLWTEAM7---SWE01,COACHES
1559066,HBLWTEAM7---SWE01,COACHES
1559067,HBLWTEAM7---SWE01,COACHES
1561282,HBLWTEAM7---BRA01,COACHES
1561288,HBLWTEAM7---BRA01,COACHES
1561292,HBLWTEAM7---BRA01,COACHES
1561718,HOCWTEAM11--GER01,COACHES
1561719,HOCWTEAM11--GER01,COACHES
1561722,HOCMTEAM11--GER01,COACHES
1561723,HOCWTEAM11--GER01,COACHES
1561725,HOCMTEAM11--GER01,COACHES
1561725,HOCWTEAM11--GER01,COACHES
1561726,HOCWTEAM11--GER01,COACHES
1561727,HOCMTEAM11--GER01,COACHES
1561732,HOCMTEAM11--GER01,COACHES
1561734,HOCWTEAM11--GER01,COACHES
1561736,HOCWTEAM11--GER01,COACHES
1561738,HOCWTEAM11--GER01,COACHES
1561741,HOCMTEAM11--GER01,COACHES
1561744,HOCMTEAM11--GER01,COACHES
1562557,HBLMTEAM7---SWE01,COACHES
1562558,HBLMTEAM7---SWE01,COACHES
1562563,HBLMTEAM7---SWE01,COACHES
1562564,HBLMTEAM7---SWE01,COACHES
1562566,HBLMTEAM7---SWE01,COACHES
1562963,VVOMTEAM6---GER01,COACHES
1562973,VVOMTEAM6---GER01,COACHES
1562974,VVOMTEAM6---GER01,COACHES
1562976,VVOMTEAM6---GER01,COACHES
1562977,VVOMTEAM6---GER01,COACHES
1562978,VVOMTEAM6---GER01,COACHES
1562982,VVOMTEAM6---GER01,COACHES
1562983,VVOMTEAM6---GER01,COACHES
1563945,HOCMTEAM11--IRL01,COACHES
1563956,HOCMTEAM11--IRL01,COACHES
1563957,HOCMTEAM11--IRL01,COACHES
1563958,HOCMTEAM11--IRL01,COACHES
1564287,FBLMTEAM11--IRQ01,COACHES
1564323,BKBMTEAM5---PUR01,COACHES
1564325,BKBMTEAM5---PUR01,COACHES
1565143,SWAWTEAM2---AUT01,COACHES
1565657,FBLMTEAM11--UKR01,COACHES
1565672,FBLMTEAM11--UKR01,COACHES
1568648,WPOMTEAM7---MNE01,COACHES
1568650,WPOMTEAM7---MNE01,COACHES
1572038,RU7MTEAM7---RSA01,COACHES
1572648,VVOWTEAM6---FRA01,COACHES
1572650,VVOWTEAM6---FRA01,COACHES
1572652,VVOWTEAM6---FRA01,COACHES
1572653,VVOWTEAM6---FRA01,COACHES
1572654,VVOWTEAM6---FRA01,COACHES
1572656,VVOWTEAM6---FRA01,COACHES
1572660,VVOWTEAM6---FRA01,COACHES
1573466,BKBWTEAM5---FRA01,COACHES
1573467,BKBWTEAM5---FRA01,COACHES
1573668,BKBMTEAM5---FRA01,COACHES
1573669,BKBMTEAM5---FRA01,COACHES
1574076,VVOMTEAM6---FRA01,COACHES
1574078,VVOMTEAM6---FRA01,COACHES
1574080,VVOMTEAM6---FRA01,COACHES
1574082,VVOMTEAM6---FRA01,COACHES
1574086,VVOMTEAM6---FRA01,COACHES
1574088,VVOMTEAM6---FRA01,COACHES
1574090,VVOMTEAM6---FRA01,COACHES
1574095,VVOMTEAM6---FRA01,COACHES
1878948,VVOWTEAM6---TUR01,COACHES
1878950,VVOWTEAM6---TUR01,COACHES
1878952,VVOWTEAM6---TUR01,COACHES
1878956,VVOWTEAM6---TUR01,COACHES
1878959,VVOWTEAM6---TUR01,COACHES
1879040,VVOWTEAM6---TUR01,COACHES
1879043,VVOWTEAM6---TUR01,COACHES
1879044,VVOWTEAM6---TUR01,COACHES
1879645,RU7MTEAM7---FRA01,COACHES
1879646,RU7MTEAM7---FRA01,COACHES
1879648,RU7MTEAM7---FRA01,COACHES
1879650,RU7MTEAM7---FRA01,COACHES
1879651,RU7MTEAM7---FRA01,COACHES
1879652,RU7MTEAM7---FRA01,COACHES
1879871,HBLWTEAM7---FRA01,COACHES
1879872,HBLWTEAM7---FRA01,COACHES
1879873,HBLWTEAM7---FRA01,COACHES
1879875,HBLWTEAM7---FRA01,COACHES
1879878,HBLWTEAM7---FRA01,COACHES
