:START_ID(Event-ID),:END_ID(Sport-ID),:TYPE
ARCMINDIVID,ARC,PART_OF
ARCMTEAM3,ARC,PART_OF
ARCWINDIVID,ARC,PART_OF
ARCWTEAM3,ARC,PART_OF
ARCXTEAM2,ARC,PART_OF
ATHM10000M,ATH,PART_OF
ATHM100M,ATH,PART_OF
ATHM110MHURD,ATH,PART_OF
ATHM1500M,ATH,PART_OF
ATHM200M,ATH,PART_OF
ATHM20KMWALK,ATH,PART_OF
ATHM3000MST,ATH,PART_OF
ATHM400M,ATH,PART_OF
ATHM400MHURD,ATH,PART_OF
ATHM4X100M,ATH,PART_OF
ATHM4X400M,ATH,PART_OF
ATHM5000M,ATH,PART_OF
ATHM800M,ATH,PART_OF
ATHMDECATH,ATH,PART_OF
ATHMDISCUS,ATH,PART_OF
ATHMHAMMER,ATH,PART_OF
ATHMHIGHJUMP,ATH,PART_OF
ATHMJAVELIN,ATH,PART_OF
ATHMLONGJUMP,ATH,PART_OF
ATHMMARATHON,ATH,PART_OF
ATHMPLEVAULT,ATH,PART_OF
ATHMSHOTPUT,ATH,PART_OF
ATHMTRPLJUMP,ATH,PART_OF
ATHW10000M,ATH,PART_OF
ATHW100M,ATH,PART_OF
ATHW100MHURD,ATH,PART_OF
ATHW1500M,ATH,PART_OF
ATHW200M,ATH,PART_OF
ATHW20KMWALK,ATH,PART_OF
ATHW3000MST,ATH,PART_OF
ATHW400M,ATH,PART_OF
ATHW400MHURD,ATH,PART_OF
ATHW4X100M,ATH,PART_OF
ATHW4X400M,ATH,PART_OF
ATHW5000M,ATH,PART_OF
ATHW800M,ATH,PART_OF
ATHWDISCUS,ATH,PART_OF
ATHWHAMMER,ATH,PART_OF
ATHWHEPTATH,ATH,PART_OF
ATHWHIGHJUMP,ATH,PART_OF
ATHWJAVELIN,ATH,PART_OF
ATHWLONGJUMP,ATH,PART_OF
ATHWMARATHON,ATH,PART_OF
ATHWPLEVAULT,ATH,PART_OF
ATHWSHOTPUT,ATH,PART_OF
ATHWTRPLJUMP,ATH,PART_OF
ATHX42KWALKT,ATH,PART_OF
ATHX4X400M,ATH,PART_OF
BDMMDOUBLES,BDM,PART_OF
BDMMSINGLES,BDM,PART_OF
BDMWDOUBLES,BDM,PART_OF
BDMWSINGLES,BDM,PART_OF
BDMXDOUBLES,BDM,PART_OF
BK3MTEAM3,BK3,PART_OF
BK3WTEAM3,BK3,PART_OF
BKBMTEAM5,BKB,PART_OF
BKBWTEAM5,BKB,PART_OF
BKGMINDIVID,BKG,PART_OF
BKGWINDIVID,BKG,PART_OF
BMFMINDVFRST,BMF,PART_OF
