:START_ID(Event-ID),:END_ID(Venue-ID),:TYPE
ARCMINDIVID,INV,HOSTED_AT
ARCMTEAM3,INV,HOSTED_AT
ARCWINDIVID,INV,HOSTED_AT
ARCWTEAM3,INV,HOSTED_AT
ARCXTEAM2,INV,HOSTED_AT
ATHM10000M,STA,HOSTED_AT
ATHM100M,STA,HOSTED_AT
ATHM110MHURD,STA,HOSTED_AT
ATHM1500M,STA,HOSTED_AT
ATHM200M,STA,HOSTED_AT
ATHM20KMWALK,TRO,HOSTED_AT
ATHM3000MST,STA,HOSTED_AT
ATHM400M,STA,HOSTED_AT
ATHM400MHURD,STA,HOSTED_AT
ATHM4X100M,STA,HOSTED_AT
ATHM4X400M,STA,HOSTED_AT
ATHM5000M,STA,HOSTED_AT
ATHM800M,STA,HOSTED_AT
ATHMDECATH,STA,HOSTED_AT
ATHMDISCUS,STA,HOSTED_AT
ATHMHAMMER,STA,HOSTED_AT
ATHMHIGHJUMP,STA,HOSTED_AT
ATHMJAVELIN,STA,HOSTED_AT
ATHMLONGJUMP,STA,HOSTED_AT
ATHMMARATHON,INV,HOSTED_AT
ATHMPLEVAULT,STA,HOSTED_AT
ATHMSHOTPUT,STA,HOSTED_AT
ATHMTRPLJUMP,STA,HOSTED_AT
ATHW10000M,STA,HOSTED_AT
ATHW100M,STA,HOSTED_AT
ATHW100MHURD,STA,HOSTED_AT
ATHW1500M,STA,HOSTED_AT
ATHW200M,STA,HOSTED_AT
ATHW20KMWALK,TRO,HOSTED_AT
ATHW3000MST,STA,HOSTED_AT
ATHW400M,STA,HOSTED_AT
ATHW400MHURD,STA,HOSTED_AT
ATHW4X100M,STA,HOSTED_AT
ATHW4X400M,STA,HOSTED_AT
ATHW5000M,STA,HOSTED_AT
ATHW800M,STA,HOSTED_AT
ATHWDISCUS,STA,HOSTED_AT
ATHWHAMMER,STA,HOSTED_AT
ATHWHEPTATH,STA,HOSTED_AT
ATHWHIGHJUMP,STA,HOSTED_AT
ATHWJAVELIN,STA,HOSTED_AT
ATHWLONGJUMP,STA,HOSTED_AT
ATHWMARATHON,INV,HOSTED_AT
ATHWPLEVAULT,STA,HOSTED_AT
ATHWSHOTPUT,STA,HOSTED_AT
ATHWTRPLJUMP,STA,HOSTED_AT
ATHX42KWALKT,TRO,HOSTED_AT
ATHX4X400M,STA,HOSTED_AT
BDMMDOUBLES,CPL,HOSTED_AT
BDMMSINGLES,CPL,HOSTED_AT
BDMWDOUBLES,CPL,HOSTED_AT
BDMWSINGLES,CPL,HOSTED_AT
BDMXDOUBLES,CPL,HOSTED_AT
BK3MTEAM3,LC1,HOSTED_AT
BK3WTEAM3,LC1,HOSTED_AT
BKBMTEAM5,BCY,HOSTED_AT
BKBMTEAM5,LIL,HOSTED_AT
BKBWTEAM5,BCY,HOSTED_AT
BKBWTEAM5,LIL,HOSTED_AT
BKGMINDIVID,LC1,HOSTED_AT
BKGWINDIVID,LC1,HOSTED_AT
BMFMINDVFRST,LC2,HOSTED_AT
BMFWINDVFRST,LC2,HOSTED_AT
BMXMINDVRACE,VE2,HOSTED_AT
BMXWINDVRACE,VE2,HOSTED_AT
BOXM51KG,NPA,HOSTED_AT
BOXM51KG,RGA,HOSTED_AT
BOXM57KG,NPA,HOSTED_AT
BOXM57KG,RGA,HOSTED_AT
BOXM63KG,NPA,HOSTED_AT
BOXM63KG,RGA,HOSTED_AT
BOXM71KG,NPA,HOSTED_AT
BOXM71KG,RGA,HOSTED_AT
BOXM80KG,NPA,HOSTED_AT
BOXM80KG,RGA,HOSTED_AT
BOXM92KG,NPA,HOSTED_AT
BOXM92KG,RGA,HOSTED_AT
BOXMO92KG,NPA,HOSTED_AT
BOXMO92KG,RGA,HOSTED_AT
BOXW50KG,NPA,HOSTED_AT
BOXW50KG,RGA,HOSTED_AT
BOXW54KG,NPA,HOSTED_AT
BOXW54KG,RGA,HOSTED_AT
BOXW57KG,NPA,HOSTED_AT
BOXW57KG,RGA,HOSTED_AT
BOXW60KG,NPA,HOSTED_AT
BOXW60KG,RGA,HOSTED_AT
BOXW66KG,NPA,HOSTED_AT
BOXW66KG,RGA,HOSTED_AT
BOXW75KG,NPA,HOSTED_AT
BOXW75KG,RGA,HOSTED_AT
CLBMBLCOMB,LBO,HOSTED_AT
CLBMSPEED,LBO,HOSTED_AT
CLBWBLCOMB,LBO,HOSTED_AT
CLBWSPEED,LBO,HOSTED_AT
CRDMRR,TRO,HOSTED_AT
CRDMTT,ALX,HOSTED_AT
CRDWRR,TRO,HOSTED_AT
CRDWTT,ALX,HOSTED_AT
CSLMC1,VN2,HOSTED_AT
CSLMK1,VN2,HOSTED_AT
CSLMX1,VN2,HOSTED_AT
CSLWC1,VN2,HOSTED_AT
CSLWK1,VN2,HOSTED_AT
CSLWX1,VN2,HOSTED_AT
CSPMC1-1000M,VN1,HOSTED_AT
CSPMC2-500M,VN1,HOSTED_AT
CSPMK1-1000M,VN1,HOSTED_AT
CSPMK2-500M,VN1,HOSTED_AT
CSPMK4-500M,VN1,HOSTED_AT
CSPWC1-200M,VN1,HOSTED_AT
CSPWC2-500M,VN1,HOSTED_AT
CSPWK1-500M,VN1,HOSTED_AT
CSPWK2-500M,VN1,HOSTED_AT
CSPWK4-500M,VN1,HOSTED_AT
CTRMKEIRIN,VE1,HOSTED_AT
CTRMMADISON,VE1,HOSTED_AT
CTRMOMNIUM,VE1,HOSTED_AT
CTRMPURTEAM4,VE1,HOSTED_AT
CTRMSPRINT,VE1,HOSTED_AT
CTRMSPRTEAM3,VE1,HOSTED_AT
CTRWKEIRIN,VE1,HOSTED_AT
CTRWMADISON,VE1,HOSTED_AT
CTRWOMNIUM,VE1,HOSTED_AT
CTRWPURTEAM4,VE1,HOSTED_AT
CTRWSPRINT,VE1,HOSTED_AT
CTRWSPRTEAM3,VE1,HOSTED_AT
DIVM10M,AQC,HOSTED_AT
DIVM10MTEAM2,AQC,HOSTED_AT
DIVM3M,AQC,HOSTED_AT
DIVM3MTEAM2,AQC,HOSTED_AT
DIVW10M,AQC,HOSTED_AT
DIVW10MTEAM2,AQC,HOSTED_AT
DIVW3M,AQC,HOSTED_AT
DIVW3MTEAM2,AQC,HOSTED_AT
EQUODRESINDV,VER,HOSTED_AT
EQUODRESTEAM,VER,HOSTED_AT
EQUOEVENINDV,VER,HOSTED_AT
EQUOEVENTEAM,VER,HOSTED_AT
EQUOJUMPINDV,VER,HOSTED_AT
EQUOJUMPTEAM,VER,HOSTED_AT
FBLMTEAM11,BOR,HOSTED_AT
FBLMTEAM11,LYO,HOSTED_AT
FBLMTEAM11,MRS,HOSTED_AT
FBLMTEAM11,NAN,HOSTED_AT
FBLMTEAM11,NIC,HOSTED_AT
