:START_ID(Official-ID),:END_ID(Country-ID),:TYPE
1536406,ITA,REPRESENTS
1550583,CRO,REPRESENTS
1550593,ALG,REPRESENTS
1550672,GEO,REPRESENTS
1550674,POL,REPRESENTS
1550675,BEL,REPRESENTS
1550689,HUN,REPRESENTS
1550693,AUT,REPRESENTS
1550694,GER,REPRESENTS
1550695,POR,REPRESENTS
1550700,AUS,REPRESENTS
1550707,GBR,REPRESENTS
1550709,GEO,REPRESENTS
1550715,FRA,REPRESENTS
1550723,CZE,REPRESENTS
1550724,POL,REPRESENTS
1550725,MEX,REPRESENTS
1550729,ESP,REPRESENTS
1550730,FIN,REPRESENTS
1550736,CZE,REPRESENTS
1550753,JPN,REPRESENTS
1550762,NED,REPRESENTS
1550763,BUL,REPRESENTS
1550776,KAZ,REPRESENTS
1557225,BEL,REPRESENTS
1560199,GER,REPRESENTS
1560200,SLO,REPRESENTS
1560201,ITA,REPRESENTS
1560211,POR,REPRESENTS
1562036,UZB,REPRESENTS
1562711,ITA,REPRESENTS
1563015,FRA,REPRESENTS
1563830,HUN,REPRESENTS
1563872,MLT,REPRESENTS
1563891,SLO,REPRESENTS
1563909,ROU,REPRESENTS
1563980,HUN,REPRESENTS
1566303,DEN,REPRESENTS
1566308,ESP,REPRESENTS
1566313,GBR,REPRESENTS
1566318,ARG,REPRESENTS
1566319,BUL,REPRESENTS
1566455,HUN,REPRESENTS
1566468,KOR,REPRESENTS
1566473,USA,REPRESENTS
1566474,URU,REPRESENTS
1566475,POL,REPRESENTS
1566476,IRL,REPRESENTS
1566480,SGP,REPRESENTS
1566482,SWE,REPRESENTS
1566488,RSA,REPRESENTS
1566489,SRB,REPRESENTS
1571146,SLO,REPRESENTS
1571149,UKR,REPRESENTS
1893239,CUB,REPRESENTS
1893241,UZB,REPRESENTS
1894925,BRA,REPRESENTS
1894942,POR,REPRESENTS
1894943,CAN,REPRESENTS
1894944,ARG,REPRESENTS
1894975,ITA,REPRESENTS
1894976,SUI,REPRESENTS
1894978,CHN,REPRESENTS
1894979,USA,REPRESENTS
1895002,JPN,REPRESENTS
1895006,COL,REPRESENTS
1895007,TUR,REPRESENTS
1895009,BUL,REPRESENTS
1895011,FRA,REPRESENTS
1895012,POL,REPRESENTS
1895013,GRE,REPRESENTS
1895017,ITA,REPRESENTS
1895018,SRB,REPRESENTS
1895019,CAN,REPRESENTS
1895020,BRA,REPRESENTS
1895021,EGY,REPRESENTS
1895022,AUS,REPRESENTS
1895023,SVK,REPRESENTS
1895025,FRA,REPRESENTS
1895026,ITA,REPRESENTS
1895027,TUN,REPRESENTS
1895028,UAE,REPRESENTS
1895031,GRE,REPRESENTS
1895034,ARG,REPRESENTS
1895035,POL,REPRESENTS
1895037,DOM,REPRESENTS
1895038,CAN,REPRESENTS
1895040,ESP,REPRESENTS
1895042,POL,REPRESENTS
1895047,JPN,REPRESENTS
1895048,RWA,REPRESENTS
1897318,HUN,REPRESENTS
1899120,NZL,REPRESENTS
1899125,JPN,REPRESENTS
1899135,NED,REPRESENTS
1916068,SUI,REPRESENTS
1916391,RSA,REPRESENTS
1916453,LTU,REPRESENTS
