:START_ID(Session-ID),:END_ID(Sport-ID),:TYPE
bdm-men-s-doubles-2024-07-29t08-30-00-02-00,BDM,SESSION_FOR
bdm-men-s-doubles-2024-07-30t14-50-00-02-00,BDM,SESSION_FOR
bdm-men-s-singles-2024-07-29t14-00-00-02-00,BDM,SESSION_FOR
bdm-men-s-singles-2024-07-31t09-20-00-02-00,BDM,SESSION_FOR
ctr-men-s-sprint-2024-08-09t15-52-00-02-00,CTR,SESSION_FOR
ctr-women-s-sprint-2024-08-10t20-14-00-02-00,CTR,SESSION_FOR
ctr-women-s-sprint-2024-08-11t13-44-00-02-00,CTR,SESSION_FOR
en-news-jo-paris-2024-ceremonie-cloture-stade-de-france,CER,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-fnl-000100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-fnl-000200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000300,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000500,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000600,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000700,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000800,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-000900,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001000,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001300,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001500,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001600,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001700,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001800,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-001900,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002000,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002300,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002500,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002600,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002700,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-gpa-002800,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-qfnl000200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-qfnl000400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-sfnl000100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-men-sfnl000200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-fnl-000100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-fnl-000200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000300,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000500,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000600,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000700,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000800,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-000900,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001000,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001300,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001500,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001600,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001700,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001800,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-001900,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002000,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002100,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002200,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002300,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002400,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002500,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002600,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002700,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-gpa-002800,BK3,SESSION_FOR
en-paris-2024-results-3x3-basketball-women-qfnl000200,BK3,SESSION_FOR
