:START_ID(Team-ID),:END_ID(Country-ID),:TYPE
ARCMTEAM3---CHN01,CHN,REPRESENTS
ARCMTEAM3---COL01,COL,REPRESENTS
ARCMTEAM3---FRA01,FRA,REPRESENTS
ARCMTEAM3---GBR01,GBR,REPRESENTS
ARCMTEAM3---IND01,IND,REPRESENTS
ARCMTEAM3---ITA01,ITA,REPRESENTS
ARCMTEAM3---JPN01,JPN,REPRESENTS
ARCMTEAM3---KAZ01,KAZ,REPRESENTS
ARCMTEAM3---KOR01,KOR,REPRESENTS
ARCMTEAM3---MEX01,MEX,REPRESENTS
ARCMTEAM3---TPE01,TPE,REPRESENTS
ARCMTEAM3---TUR01,TUR,REPRESENTS
ARCWTEAM3---CHN01,CHN,REPRESENTS
ARCWTEAM3---FRA01,FRA,REPRESENTS
ARCWTEAM3---GBR01,GBR,REPRESENTS
ARCWTEAM3---GER01,GER,REPRESENTS
ARCWTEAM3---INA01,INA,REPRESENTS
ARCWTEAM3---IND01,IND,REPRESENTS
ARCWTEAM3---KOR01,KOR,REPRESENTS
ARCWTEAM3---MAS01,MAS,REPRESENTS
ARCWTEAM3---MEX01,MEX,REPRESENTS
ARCWTEAM3---NED01,NED,REPRESENTS
ARCWTEAM3---TPE01,TPE,REPRESENTS
ARCWTEAM3---USA01,USA,REPRESENTS
ARCXTEAM2---AUS01,AUS,REPRESENTS
ARCXTEAM2---BRA01,BRA,REPRESENTS
ARCXTEAM2---CAN01,CAN,REPRESENTS
ARCXTEAM2---CHN01,CHN,REPRESENTS
ARCXTEAM2---COL01,COL,REPRESENTS
ARCXTEAM2---CZE01,CZE,REPRESENTS
ARCXTEAM2---EGY01,EGY,REPRESENTS
ARCXTEAM2---ESP01,ESP,REPRESENTS
ARCXTEAM2---FRA01,FRA,REPRESENTS
ARCXTEAM2---GBR01,GBR,REPRESENTS
ARCXTEAM2---GER01,GER,REPRESENTS
ARCXTEAM2---INA01,INA,REPRESENTS
ARCXTEAM2---IND01,IND,REPRESENTS
ARCXTEAM2---ISR01,ISR,REPRESENTS
ARCXTEAM2---ITA01,ITA,REPRESENTS
ARCXTEAM2---JPN01,JPN,REPRESENTS
ARCXTEAM2---KOR01,KOR,REPRESENTS
ARCXTEAM2---MDA01,MDA,REPRESENTS
ARCXTEAM2---MEX01,MEX,REPRESENTS
ARCXTEAM2---NED01,NED,REPRESENTS
ARCXTEAM2---SLO01,SLO,REPRESENTS
ARCXTEAM2---TPE01,TPE,REPRESENTS
ARCXTEAM2---TUR01,TUR,REPRESENTS
ARCXTEAM2---UKR01,UKR,REPRESENTS
ARCXTEAM2---USA01,USA,REPRESENTS
ARCXTEAM2---UZB01,UZB,REPRESENTS
ARCXTEAM2---VIE01,VIE,REPRESENTS
ATHM4X100M--AUS01,AUS,REPRESENTS
ATHM4X100M--BRA01,BRA,REPRESENTS
ATHM4X100M--CAN01,CAN,REPRESENTS
ATHM4X100M--CHN01,CHN,REPRESENTS
ATHM4X100M--FRA01,FRA,REPRESENTS
ATHM4X100M--GBR01,GBR,REPRESENTS
ATHM4X100M--GER01,GER,REPRESENTS
ATHM4X100M--GHA01,GHA,REPRESENTS
ATHM4X100M--ITA01,ITA,REPRESENTS
ATHM4X100M--JAM01,JAM,REPRESENTS
ATHM4X100M--JPN01,JPN,REPRESENTS
ATHM4X100M--LBR01,LBR,REPRESENTS
ATHM4X100M--NED01,NED,REPRESENTS
ATHM4X100M--NGR01,NGR,REPRESENTS
ATHM4X100M--RSA01,RSA,REPRESENTS
ATHM4X100M--USA01,USA,REPRESENTS
ATHM4X400M--BEL01,BEL,REPRESENTS
ATHM4X400M--BOT01,BOT,REPRESENTS
ATHM4X400M--BRA01,BRA,REPRESENTS
ATHM4X400M--ESP01,ESP,REPRESENTS
ATHM4X400M--FRA01,FRA,REPRESENTS
ATHM4X400M--GBR01,GBR,REPRESENTS
ATHM4X400M--GER01,GER,REPRESENTS
ATHM4X400M--IND01,IND,REPRESENTS
ATHM4X400M--ITA01,ITA,REPRESENTS
ATHM4X400M--JPN01,JPN,REPRESENTS
ATHM4X400M--NGR01,NGR,REPRESENTS
ATHM4X400M--POL01,POL,REPRESENTS
ATHM4X400M--RSA01,RSA,REPRESENTS
ATHM4X400M--TTO01,TTO,REPRESENTS
ATHM4X400M--USA01,USA,REPRESENTS
ATHM4X400M--ZAM01,ZAM,REPRESENTS
ATHW4X100M--AUS01,AUS,REPRESENTS
ATHW4X100M--BEL01,BEL,REPRESENTS
ATHW4X100M--CAN01,CAN,REPRESENTS
ATHW4X100M--CIV01,CIV,REPRESENTS
ATHW4X100M--ESP01,ESP,REPRESENTS
ATHW4X100M--FRA01,FRA,REPRESENTS
ATHW4X100M--GBR01,GBR,REPRESENTS
ATHW4X100M--GER01,GER,REPRESENTS
ATHW4X100M--ITA01,ITA,REPRESENTS
ATHW4X100M--JAM01,JAM,REPRESENTS
ATHW4X100M--NED01,NED,REPRESENTS
ATHW4X100M--NGR01,NGR,REPRESENTS
ATHW4X100M--POL01,POL,REPRESENTS
ATHW4X100M--SUI01,SUI,REPRESENTS
ATHW4X100M--TTO01,TTO,REPRESENTS
ATHW4X100M--USA01,USA,REPRESENTS
ATHW4X400M--BEL01,BEL,REPRESENTS
ATHW4X400M--CAN01,CAN,REPRESENTS
ATHW4X400M--CUB01,CUB,REPRESENTS
ATHW4X400M--ESP01,ESP,REPRESENTS
ATHW4X400M--FRA01,FRA,REPRESENTS
ATHW4X400M--GBR01,GBR,REPRESENTS
ATHW4X400M--GER01,GER,REPRESENTS
ATHW4X400M--IND01,IND,REPRESENTS
ATHW4X400M--IRL01,IRL,REPRESENTS
ATHW4X400M--ITA01,ITA,REPRESENTS
ATHW4X400M--JAM01,JAM,REPRESENTS
ATHW4X400M--NED01,NED,REPRESENTS
ATHW4X400M--NOR01,NOR,REPRESENTS
ATHW4X400M--POL01,POL,REPRESENTS
ATHW4X400M--SUI01,SUI,REPRESENTS
ATHW4X400M--USA01,USA,REPRESENTS
ATHX42KWALKTAUS01,AUS,REPRESENTS
ATHX42KWALKTAUS02,AUS,REPRESENTS
ATHX42KWALKTBRA01,BRA,REPRESENTS
ATHX42KWALKTCAN01,CAN,REPRESENTS
ATHX42KWALKTCHN01,CHN,REPRESENTS
ATHX42KWALKTCHN02,CHN,REPRESENTS
ATHX42KWALKTCOL01,COL,REPRESENTS
ATHX42KWALKTCOL02,COL,REPRESENTS
ATHX42KWALKTCZE01,CZE,REPRESENTS
ATHX42KWALKTECU01,ECU,REPRESENTS
ATHX42KWALKTESP01,ESP,REPRESENTS
ATHX42KWALKTESP02,ESP,REPRESENTS
ATHX42KWALKTFRA01,FRA,REPRESENTS
ATHX42KWALKTGER01,GER,REPRESENTS
ATHX42KWALKTHUN01,HUN,REPRESENTS
ATHX42KWALKTIND01,IND,REPRESENTS
ATHX42KWALKTITA01,ITA,REPRESENTS
ATHX42KWALKTJPN01,JPN,REPRESENTS
ATHX42KWALKTJPN02,JPN,REPRESENTS
ATHX42KWALKTMEX01,MEX,REPRESENTS
ATHX42KWALKTPER01,PER,REPRESENTS
ATHX42KWALKTPOL01,POL,REPRESENTS
ATHX42KWALKTSVK01,SVK,REPRESENTS
ATHX42KWALKTTUR01,TUR,REPRESENTS
ATHX42KWALKTUKR01,UKR,REPRESENTS
ATHX4X400M--BAH01,BAH,REPRESENTS
ATHX4X400M--BEL01,BEL,REPRESENTS
ATHX4X400M--DOM01,DOM,REPRESENTS
ATHX4X400M--FRA01,FRA,REPRESENTS
ATHX4X400M--GBR01,GBR,REPRESENTS
ATHX4X400M--GER01,GER,REPRESENTS
ATHX4X400M--IRL01,IRL,REPRESENTS
ATHX4X400M--ITA01,ITA,REPRESENTS
ATHX4X400M--JAM01,JAM,REPRESENTS
ATHX4X400M--KEN01,KEN,REPRESENTS
ATHX4X400M--NED01,NED,REPRESENTS
ATHX4X400M--NGR01,NGR,REPRESENTS
ATHX4X400M--POL01,POL,REPRESENTS
ATHX4X400M--SUI01,SUI,REPRESENTS
ATHX4X400M--UKR01,UKR,REPRESENTS
ATHX4X400M--USA01,USA,REPRESENTS
BDMMDOUBLES-CAN01,CAN,REPRESENTS
BDMMDOUBLES-CHN01,CHN,REPRESENTS
BDMMDOUBLES-CHN02,CHN,REPRESENTS
BDMMDOUBLES-CZE01,CZE,REPRESENTS
BDMMDOUBLES-DEN01,DEN,REPRESENTS
BDMMDOUBLES-FRA01,FRA,REPRESENTS
BDMMDOUBLES-FRA02,FRA,REPRESENTS
BDMMDOUBLES-GBR01,GBR,REPRESENTS
BDMMDOUBLES-GER01,GER,REPRESENTS
BDMMDOUBLES-INA01,INA,REPRESENTS
BDMMDOUBLES-IND01,IND,REPRESENTS
BDMMDOUBLES-JPN01,JPN,REPRESENTS
BDMMDOUBLES-KOR01,KOR,REPRESENTS
BDMMDOUBLES-MAS01,MAS,REPRESENTS
BDMMDOUBLES-THA01,THA,REPRESENTS
BDMMDOUBLES-TPE01,TPE,REPRESENTS
BDMMDOUBLES-USA01,USA,REPRESENTS
BDMWDOUBLES-AUS01,AUS,REPRESENTS
BDMWDOUBLES-BUL01,BUL,REPRESENTS
BDMWDOUBLES-CHN01,CHN,REPRESENTS
BDMWDOUBLES-CHN02,CHN,REPRESENTS
BDMWDOUBLES-DEN01,DEN,REPRESENTS
BDMWDOUBLES-FRA01,FRA,REPRESENTS
BDMWDOUBLES-HKG01,HKG,REPRESENTS
BDMWDOUBLES-INA01,INA,REPRESENTS
BDMWDOUBLES-IND01,IND,REPRESENTS
BDMWDOUBLES-JPN01,JPN,REPRESENTS
BDMWDOUBLES-JPN02,JPN,REPRESENTS
BDMWDOUBLES-KOR01,KOR,REPRESENTS
BDMWDOUBLES-KOR02,KOR,REPRESENTS
BDMWDOUBLES-MAS01,MAS,REPRESENTS
BDMWDOUBLES-THA01,THA,REPRESENTS
BDMWDOUBLES-USA01,USA,REPRESENTS
BDMXDOUBLES-ALG01,ALG,REPRESENTS
BDMXDOUBLES-CHN01,CHN,REPRESENTS
BDMXDOUBLES-CHN02,CHN,REPRESENTS
BDMXDOUBLES-DEN01,DEN,REPRESENTS
BDMXDOUBLES-FRA01,FRA,REPRESENTS
BDMXDOUBLES-HKG01,HKG,REPRESENTS
BDMXDOUBLES-INA01,INA,REPRESENTS
BDMXDOUBLES-JPN01,JPN,REPRESENTS
BDMXDOUBLES-KOR01,KOR,REPRESENTS
BDMXDOUBLES-KOR02,KOR,REPRESENTS
BDMXDOUBLES-MAS01,MAS,REPRESENTS
BDMXDOUBLES-NED01,NED,REPRESENTS
BDMXDOUBLES-SGP01,SGP,REPRESENTS
BDMXDOUBLES-THA01,THA,REPRESENTS
BDMXDOUBLES-TPE01,TPE,REPRESENTS
BDMXDOUBLES-USA01,USA,REPRESENTS
BK3MTEAM3---CHN01,CHN,REPRESENTS
BK3MTEAM3---FRA01,FRA,REPRESENTS
BK3MTEAM3---LAT01,LAT,REPRESENTS
BK3MTEAM3---LTU01,LTU,REPRESENTS
BK3MTEAM3---NED01,NED,REPRESENTS
BK3MTEAM3---POL01,POL,REPRESENTS
BK3MTEAM3---SRB01,SRB,REPRESENTS
BK3MTEAM3---USA01,USA,REPRESENTS
BK3WTEAM3---AUS01,AUS,REPRESENTS
BK3WTEAM3---AZE01,AZE,REPRESENTS
BK3WTEAM3---CAN01,CAN,REPRESENTS
BK3WTEAM3---CHN01,CHN,REPRESENTS
