:START_ID(Team-ID),:END_ID(Event-ID),stage_code,event_stage,stage,date,result,result_type,result_status,result_diff,bib,rank,:TYPE
ARCMTEAM3---CHN01,ARCMTEAM3,ARCMTEAM3-------------FNL-000200--,Men's Team Bronze Medal Match,Bronze Medal Match,2024-08-03T11:45:36+02:00,2,SETS,L,,4,,COMPETED_IN
ARCMTEAM3---CHN01,ARCMTEAM3,ARCMTEAM3-------------QFNL000200--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:38+02:00,5,SETS,W,,4,,COMPETED_IN
ARCMTEAM3---CHN01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1998,POINTS,,,4,4.0,COMPETED_IN
ARCMTEAM3---CHN01,ARCMTEAM3,ARCMTEAM3-------------SFNL000100--,Men's Team Semifinal,Semifinal,2024-08-03T11:45:36+02:00,1,SETS,L,,4,,COMPETED_IN
ARCMTEAM3---COL01,ARCMTEAM3,ARCMTEAM3-------------8FNL000600--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:38+02:00,4,SETS,L,,11,,COMPETED_IN
ARCMTEAM3---COL01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1970,POINTS,,,11,11.0,COMPETED_IN
ARCMTEAM3---FRA01,ARCMTEAM3,ARCMTEAM3-------------FNL-000100--,Men's Team Gold Medal Match,Gold Medal Match,2024-08-03T11:45:36+02:00,1,SETS,L,,2,,COMPETED_IN
ARCMTEAM3---FRA01,ARCMTEAM3,ARCMTEAM3-------------QFNL000400--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:37+02:00,6,SETS,W,,2,,COMPETED_IN
ARCMTEAM3---FRA01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,2025,POINTS,,,2,2.0,COMPETED_IN
ARCMTEAM3---FRA01,ARCMTEAM3,ARCMTEAM3-------------SFNL000200--,Men's Team Semifinal,Semifinal,2024-08-03T11:45:36+02:00,5,SETS,W,,2,,COMPETED_IN
ARCMTEAM3---GBR01,ARCMTEAM3,ARCMTEAM3-------------8FNL000300--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:39+02:00,0,SETS,L,,12,,COMPETED_IN
ARCMTEAM3---GBR01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1961,POINTS,,,12,12.0,COMPETED_IN
ARCMTEAM3---IND01,ARCMTEAM3,ARCMTEAM3-------------QFNL000300--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:37+02:00,2,SETS,L,,3,,COMPETED_IN
ARCMTEAM3---IND01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,2013,POINTS,,,3,3.0,COMPETED_IN
ARCMTEAM3---ITA01,ARCMTEAM3,ARCMTEAM3-------------8FNL000700--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:39+02:00,5,SETS,W,,7,,COMPETED_IN
ARCMTEAM3---ITA01,ARCMTEAM3,ARCMTEAM3-------------QFNL000400--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:37+02:00,2,SETS,L,,7,,COMPETED_IN
ARCMTEAM3---ITA01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1990,POINTS,,,7,7.0,COMPETED_IN
ARCMTEAM3---JPN01,ARCMTEAM3,ARCMTEAM3-------------8FNL000200--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:39+02:00,5,SETS,W,,8,,COMPETED_IN
ARCMTEAM3---JPN01,ARCMTEAM3,ARCMTEAM3-------------QFNL000100--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:38+02:00,0,SETS,L,,8,,COMPETED_IN
ARCMTEAM3---JPN01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1972,POINTS,,,8,8.0,COMPETED_IN
ARCMTEAM3---KAZ01,ARCMTEAM3,ARCMTEAM3-------------8FNL000700--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:39+02:00,4,SETS,L,,10,,COMPETED_IN
ARCMTEAM3---KAZ01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1971,POINTS,,,10,10.0,COMPETED_IN
ARCMTEAM3---KOR01,ARCMTEAM3,ARCMTEAM3-------------FNL-000100--,Men's Team Gold Medal Match,Gold Medal Match,2024-08-03T11:45:36+02:00,5,SETS,W,,1,,COMPETED_IN
ARCMTEAM3---KOR01,ARCMTEAM3,ARCMTEAM3-------------QFNL000100--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:38+02:00,6,SETS,W,,1,,COMPETED_IN
ARCMTEAM3---KOR01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,2049,POINTS,,,1,1.0,COMPETED_IN
ARCMTEAM3---KOR01,ARCMTEAM3,ARCMTEAM3-------------SFNL000100--,Men's Team Semifinal,Semifinal,2024-08-03T11:45:36+02:00,5,SETS,W,,1,,COMPETED_IN
ARCMTEAM3---MEX01,ARCMTEAM3,ARCMTEAM3-------------8FNL000200--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:39+02:00,1,SETS,L,,9,,COMPETED_IN
ARCMTEAM3---MEX01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1972,POINTS,,,9,9.0,COMPETED_IN
ARCMTEAM3---TPE01,ARCMTEAM3,ARCMTEAM3-------------8FNL000300--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:39+02:00,6,SETS,W,,5,,COMPETED_IN
ARCMTEAM3---TPE01,ARCMTEAM3,ARCMTEAM3-------------QFNL000200--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:38+02:00,1,SETS,L,,5,,COMPETED_IN
ARCMTEAM3---TPE01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1992,POINTS,,,5,5.0,COMPETED_IN
ARCMTEAM3---TUR01,ARCMTEAM3,ARCMTEAM3-------------8FNL000600--,Men's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:45:38+02:00,5,SETS,W,,6,,COMPETED_IN
ARCMTEAM3---TUR01,ARCMTEAM3,ARCMTEAM3-------------FNL-000200--,Men's Team Bronze Medal Match,Bronze Medal Match,2024-08-03T11:45:36+02:00,6,SETS,W,,6,,COMPETED_IN
ARCMTEAM3---TUR01,ARCMTEAM3,ARCMTEAM3-------------QFNL000300--,Men's Team Quarterfinal,Quarterfinal,2024-08-03T11:45:37+02:00,6,SETS,W,,6,,COMPETED_IN
ARCMTEAM3---TUR01,ARCMTEAM3,ARCMTEAM3-------------QUAL000100--,Men's Team Ranking Round,Ranking Round,2024-07-25T16:36:50+02:00,1992,POINTS,,,6,6.0,COMPETED_IN
ARCMTEAM3---TUR01,ARCMTEAM3,ARCMTEAM3-------------SFNL000200--,Men's Team Semifinal,Semifinal,2024-08-03T11:45:36+02:00,4,SETS,L,,6,,COMPETED_IN
ARCWTEAM3---CHN01,ARCWTEAM3,ARCWTEAM3-------------FNL-000100--,Women's Team Gold Medal Match,Gold Medal Match,2024-08-03T11:42:40+02:00,4,SETS,L,,2,,COMPETED_IN
ARCWTEAM3---CHN01,ARCWTEAM3,ARCWTEAM3-------------QFNL000400--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:41+02:00,5,SETS,W,,2,,COMPETED_IN
ARCWTEAM3---CHN01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1996,POINTS,,,2,2.0,COMPETED_IN
ARCWTEAM3---CHN01,ARCWTEAM3,ARCWTEAM3-------------SFNL000200--,Women's Team Semifinal,Semifinal,2024-08-03T11:42:40+02:00,5,SETS,W,,2,,COMPETED_IN
ARCWTEAM3---FRA01,ARCWTEAM3,ARCWTEAM3-------------8FNL000300--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:43+02:00,0,SETS,L,,5,,COMPETED_IN
ARCWTEAM3---FRA01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1972,POINTS,,,5,5.0,COMPETED_IN
ARCWTEAM3---GBR01,ARCWTEAM3,ARCWTEAM3-------------8FNL000600--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:43+02:00,0,SETS,L,,11,,COMPETED_IN
ARCWTEAM3---GBR01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1912,POINTS,,,11,11.0,COMPETED_IN
ARCWTEAM3---GER01,ARCWTEAM3,ARCWTEAM3-------------8FNL000600--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:43+02:00,6,SETS,W,,6,,COMPETED_IN
ARCWTEAM3---GER01,ARCWTEAM3,ARCWTEAM3-------------QFNL000300--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:41+02:00,1,SETS,L,,6,,COMPETED_IN
ARCWTEAM3---GER01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1965,POINTS,,,6,6.0,COMPETED_IN
ARCWTEAM3---INA01,ARCWTEAM3,ARCWTEAM3-------------8FNL000700--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:43+02:00,5,SETS,W,,7,,COMPETED_IN
ARCWTEAM3---INA01,ARCWTEAM3,ARCWTEAM3-------------QFNL000400--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:41+02:00,1,SETS,L,,7,,COMPETED_IN
ARCWTEAM3---INA01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1960,POINTS,,,7,7.0,COMPETED_IN
ARCWTEAM3---IND01,ARCWTEAM3,ARCWTEAM3-------------QFNL000200--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:42+02:00,0,SETS,L,,4,,COMPETED_IN
ARCWTEAM3---IND01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1983,POINTS,,,4,4.0,COMPETED_IN
ARCWTEAM3---KOR01,ARCWTEAM3,ARCWTEAM3-------------FNL-000100--,Women's Team Gold Medal Match,Gold Medal Match,2024-08-03T11:42:40+02:00,5,SETS,W,,1,,COMPETED_IN
ARCWTEAM3---KOR01,ARCWTEAM3,ARCWTEAM3-------------QFNL000100--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:42+02:00,6,SETS,W,,1,,COMPETED_IN
ARCWTEAM3---KOR01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,2046,POINTS,,,1,1.0,COMPETED_IN
ARCWTEAM3---KOR01,ARCWTEAM3,ARCWTEAM3-------------SFNL000100--,Women's Team Semifinal,Semifinal,2024-08-03T11:42:41+02:00,5,SETS,W,,1,,COMPETED_IN
ARCWTEAM3---MAS01,ARCWTEAM3,ARCWTEAM3-------------8FNL000700--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:43+02:00,3,SETS,L,,10,,COMPETED_IN
ARCWTEAM3---MAS01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1918,POINTS,,,10,10.0,COMPETED_IN
ARCWTEAM3---MEX01,ARCWTEAM3,ARCWTEAM3-------------FNL-000200--,Women's Team Bronze Medal Match,Bronze Medal Match,2024-08-03T11:42:40+02:00,6,SETS,W,,3,,COMPETED_IN
ARCWTEAM3---MEX01,ARCWTEAM3,ARCWTEAM3-------------QFNL000300--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:41+02:00,5,SETS,W,,3,,COMPETED_IN
ARCWTEAM3---MEX01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1986,POINTS,,,3,3.0,COMPETED_IN
ARCWTEAM3---MEX01,ARCWTEAM3,ARCWTEAM3-------------SFNL000200--,Women's Team Semifinal,Semifinal,2024-08-03T11:42:40+02:00,3,SETS,L,,3,,COMPETED_IN
ARCWTEAM3---NED01,ARCWTEAM3,ARCWTEAM3-------------8FNL000300--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:43+02:00,6,SETS,W,,12,,COMPETED_IN
ARCWTEAM3---NED01,ARCWTEAM3,ARCWTEAM3-------------FNL-000200--,Women's Team Bronze Medal Match,Bronze Medal Match,2024-08-03T11:42:40+02:00,2,SETS,L,,12,,COMPETED_IN
ARCWTEAM3---NED01,ARCWTEAM3,ARCWTEAM3-------------QFNL000200--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:42+02:00,6,SETS,W,,12,,COMPETED_IN
ARCWTEAM3---NED01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1897,POINTS,,,12,12.0,COMPETED_IN
ARCWTEAM3---NED01,ARCWTEAM3,ARCWTEAM3-------------SFNL000100--,Women's Team Semifinal,Semifinal,2024-08-03T11:42:41+02:00,4,SETS,L,,12,,COMPETED_IN
ARCWTEAM3---TPE01,ARCWTEAM3,ARCWTEAM3-------------8FNL000200--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:44+02:00,5,SETS,W,,9,,COMPETED_IN
ARCWTEAM3---TPE01,ARCWTEAM3,ARCWTEAM3-------------QFNL000100--,Women's Team Quarterfinal,Quarterfinal,2024-08-03T11:42:42+02:00,2,SETS,L,,9,,COMPETED_IN
ARCWTEAM3---TPE01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1926,POINTS,,,9,9.0,COMPETED_IN
ARCWTEAM3---USA01,ARCWTEAM3,ARCWTEAM3-------------8FNL000200--,Women's Team 1/8 Elimination Round,1/8 Elimination Round,2024-08-03T11:42:44+02:00,1,SETS,L,,8,,COMPETED_IN
ARCWTEAM3---USA01,ARCWTEAM3,ARCWTEAM3-------------QUAL000100--,Women's Team Ranking Round,Ranking Round,2024-07-25T15:43:40+02:00,1945,POINTS,,,8,8.0,COMPETED_IN
ARCXTEAM2---AUS01,ARCXTEAM2,ARCXTEAM2-------------QUAL000100--,Mixed Team Ranking Round,Ranking Round,2024-07-27T11:08:59+02:00,1278,POINTS,,,26,26.0,COMPETED_IN
